	SNF2_14	SNF2_15	SNF2_31	SNF2_33	SNF2_42	SNF2_44	WT_02	WT_18	WT_20	WT_39	WT_42	WT_45
YHR098C	2361	1602	1517	2677	1527	2085	1623	1772	1151	1512	1527	2396
YHR145C	1	0	0	1	0	1	0	0	0	0	0	0
YHR120W	272	194	193	337	198	311	266	223	137	160	186	293
YHL030W	1562	1022	904	1832	1073	1347	1073	1214	771	831	1125	1360
tV(CAC)H	1	0	0	0	0	0	0	0	0	0	0	0
YHR051W	933	506	493	1084	560	894	522	689	466	362	556	627
YHR130C	93	47	45	139	46	99	52	40	32	21	38	56
YHR149C	592	463	581	889	427	589	586	485	293	501	397	956
YHR127W	378	259	276	586	298	381	323	259	150	178	243	385
YHR194W	782	722	722	935	535	803	452	434	346	390	387	727
YHR213W-A	0	0	0	0	0	0	0	0	0	0	0	0
YHR032C-A	25	19	27	25	12	15	16	20	10	9	8	25
YHR203C	7532	9846	7968	9171	6363	6390	7373	6643	5695	8733	7022	13262
YHR168W	375	225	230	396	223	353	221	215	155	182	205	337
YHR167W	157	111	108	230	123	176	138	125	81	93	116	189
YHR050W	2317	1881	1973	3017	1726	2215	1277	1280	913	1035	1176	1854
YHR112C	925	862	726	1105	730	836	435	462	431	371	433	628
YHR027C	4956	3836	3491	5784	3354	3732	3209	3906	2930	3487	3612	5216
YHR214C-E	2	0	3	1	1	0	1	2	1	0	0	1
YHR214W	16	8	4	16	12	2	3	14	3	7	5	9
YHR188C	1882	1757	1494	2164	1358	1698	1244	1289	1037	1138	1084	1873
YHL023C	1072	611	701	1267	672	967	530	484	343	434	428	725
YHR099W	1224	931	885	1305	861	1186	918	861	567	708	831	1255
YHR196W	283	122	164	413	139	248	631	361	193	382	331	725
YHR177W	221	150	130	246	128	208	124	138	81	112	123	184
YHR174W	85142	89077	77192	103589	66721	70157	111041	116996	108939	130277	113555	205536
YHR199C-A	124	110	100	146	78	123	95	77	80	66	96	115
YHR034C	441	405	417	591	316	455	239	260	180	213	245	429
YHR179W	9972	8535	7824	12974	7408	9591	8624	8689	6518	8552	8188	13667
YHR014W	48	16	20	57	27	57	28	19	15	15	16	17
YHR171W	570	356	335	639	357	574	285	320	217	212	291	354
tF(GAA)H1	5	3	3	3	3	5	0	1	0	1	1	3
YHR121W	905	817	733	1276	681	896	664	634	539	600	662	882
YHR116W	285	291	301	330	204	316	196	192	185	183	176	258
YHR087W	530	356	336	506	306	521	553	710	722	425	708	630
YHR176W	347	304	289	432	283	422	137	142	110	108	143	173
YHR173C	80	49	49	105	37	91	53	32	34	36	44	70
YHL010C	554	324	318	636	373	433	333	400	252	255	357	390
YHR102W	778	648	586	822	627	829	573	673	437	548	542	905
YHR063C	1424	957	882	1673	967	1371	769	762	553	646	739	893
YHR050W-A	53	37	26	64	21	61	38	46	27	25	37	41
YHR137C-A	0	0	0	0	0	0	0	0	0	0	0	0
YHL017W	1027	929	773	1184	706	853	726	697	543	695	659	1165
YHL035C	729	518	431	947	530	781	1035	1141	639	676	953	1082
YHR043C	1292	912	1015	1505	877	1194	819	882	795	587	816	1142
YHR115C	767	499	487	873	473	728	513	528	347	408	463	785
YHL007C	1365	905	962	1875	943	1242	1194	1056	687	825	818	1550
YHR018C	3204	2855	2181	3526	2380	2616	1044	1348	2551	1904	1802	1513
YHR076W	740	413	446	901	489	681	513	449	339	321	442	589
YHL019C	449	320	293	528	291	401	340	317	275	274	329	388
YHR061C	437	335	361	606	314	495	225	223	143	158	195	302
tV(AAC)H	0	0	0	0	0	1	0	1	0	0	0	0
snR32	102	23	24	42	21	51	65	50	52	23	38	38
YHR068W	4447	3926	3499	5510	3345	2814	3052	3262	2501	3442	2874	5753
YHR218W-A	0	0	0	0	0	0	0	0	0	0	0	0
YHR037W	1262	731	739	1448	796	1236	926	954	771	668	852	1171
YHR012W	978	1050	776	1196	803	829	588	675	461	561	520	844
YHR144C	207	169	197	270	151	206	274	192	140	178	178	335
YHR077C	1582	1013	991	2241	1010	1197	1230	1095	687	1037	1056	1782
YHR156C	177	95	90	205	96	183	100	94	63	79	88	106
YHR217C	0	0	1	1	0	0	0	0	1	0	0	1
YHR036W	332	284	303	380	208	353	273	164	154	198	159	379
YHR091C	847	435	489	962	446	832	468	452	320	293	389	584
YHR052W	412	169	221	543	164	353	872	642	282	549	626	995
YHR123W	800	730	732	1012	574	802	559	513	447	428	472	718
YHR009C	2008	1530	1469	2443	1436	1914	1337	1312	1135	1097	1255	1896
YHL018W	33	21	14	34	15	17	24	34	23	37	18	58
YHL012W	53	45	35	82	30	76	139	84	29	48	55	130
YHR211W	349	377	391	398	260	257	217	197	192	219	190	406
YHR155W	494	244	247	567	320	503	410	414	251	299	406	486
RUF5-1	0	0	0	0	0	0	0	0	0	0	0	0
YHR139C	61	59	50	70	53	54	50	48	33	40	40	55
YHR032W-A	111	119	119	158	92	105	88	82	59	97	55	187
tA(AGC)H	1	2	2	1	1	3	0	1	0	0	1	0
YHR210C	385	427	380	413	281	477	255	220	187	211	183	395
YHR072W-A	1610	1095	1043	2078	903	1716	1599	1093	827	1197	1087	1546
YHR140W	29	30	16	46	30	38	46	49	35	34	30	38
YHR044C	251	179	189	329	165	275	131	111	93	109	90	189
YHL016C	256	151	171	325	155	260	137	117	95	83	114	151
tP(UGG)H	0	0	0	0	0	0	0	0	0	0	0	0
YHR202W	299	233	200	345	222	282	182	172	151	167	164	228
YHR019C	7466	6520	5965	8825	5591	6263	5921	5706	4834	5588	5070	9634
YHL034W-A	103	48	49	119	90	157	63	63	40	28	50	69
YHR213W-B	8	14	5	12	7	6	18	3	6	3	10	14
YHR104W	1166	968	853	1345	893	1224	863	912	797	693	913	960
YHR083W	1409	1276	1274	1775	1100	1186	956	1015	830	936	885	1536
YHR165W-A	2	0	1	1	1	0	3	0	1	0	1	1
YHL022C	28	22	16	34	20	36	35	30	19	17	27	44
YHR032W	1222	1309	1300	1459	856	1016	1274	1156	816	1437	1068	2615
YHR008C	3517	3721	2902	3974	2760	3724	2069	2054	2145	1897	2247	2744
YHL038C	275	223	220	372	243	288	186	213	139	160	168	276
YHR071C-A	6	6	2	10	3	4	6	3	3	6	5	5
YHR081W	700	372	434	928	406	622	639	521	319	500	482	736
YHL050W-A	0	0	0	0	0	0	0	0	0	0	0	0
YHL028W	474	584	552	616	327	587	324	319	321	308	260	538
YHR073C-B	0	0	0	0	0	0	0	0	0	0	0	0
YHL033C	5956	7514	5677	7781	4994	5300	7067	6227	5554	7244	6015	11621
YHR066W	150	81	123	299	77	116	412	295	123	310	231	635
YHR029C	548	300	260	629	330	497	342	329	232	221	327	332
YHR178W	249	240	217	334	199	231	235	262	182	190	180	384
YHR063W-A	76	29	39	135	51	106	115	69	39	51	97	76
YHR040W	436	388	415	537	298	415	417	314	217	388	311	717
YHR192W	792	848	739	1115	607	918	579	504	469	431	493	682
YHR017W	817	432	389	950	444	859	510	462	277	305	442	504
YHR004C	1175	834	798	1429	763	1050	739	668	495	531	571	954
YHL040C	403	332	273	482	299	376	536	608	363	453	412	879
YHR191C	333	385	334	478	252	392	286	266	201	233	231	392
YHR201C	1000	841	737	1343	756	945	867	910	684	747	832	1245
YHR103W	1201	687	637	1408	756	1129	898	843	444	638	733	1105
YHR213W	0	0	0	0	0	0	0	0	0	0	0	0
YHR153C	23	15	11	26	24	24	16	23	16	5	19	22
YHR082C	2263	1624	1688	2726	1581	2220	1513	1725	1201	1409	1480	2283
YHR069C-A	0	0	0	2	1	1	0	3	0	0	1	1
YHR020W	3663	2625	2317	4102	2325	2773	3024	2973	1907	2888	2631	4888
YHR057C	1570	1809	1747	1837	1143	1357	1001	933	1050	1104	942	1527
YHL024W	312	300	287	428	195	387	277	239	205	192	246	299
YHR128W	680	423	350	912	503	591	1172	1128	582	967	951	1608
tQ(UUG)H	0	0	0	0	0	0	1	0	0	0	0	0
YHR047C	1138	770	670	1340	705	897	832	884	706	815	900	1145
YHL026C	294	284	313	354	235	351	256	169	115	202	137	335
YHR197W	288	108	145	392	116	267	550	406	167	369	341	787
YHR028C	2539	1671	1555	2784	1684	2157	1228	1406	1013	1015	1235	1648
YHR134W	397	273	238	505	250	360	253	250	212	193	199	358
YHR122W	364	255	259	476	225	337	271	242	226	228	248	393
YHR067W	177	112	120	169	103	180	112	122	82	113	97	140
YHL037C	25	11	17	40	20	27	12	20	1	6	15	15
YHR013C	1059	855	817	1423	906	1011	717	709	534	715	737	1114
YHR137W	124	84	66	122	104	125	149	169	135	80	151	108
tT(AGU)H	0	1	0	0	0	1	0	0	0	0	0	0
