	SNF2_14	SNF2_15	SNF2_31	SNF2_33	SNF2_42	SNF2_44	WT_02	WT_18	WT_20	WT_39	WT_42	WT_45
YDL246C	2	7	3	4	4	6	3	2	3	1	1	3
YDL243C	333	270	254	366	175	256	169	185	200	154	154	255
YDR387C	824	630	574	972	523	893	564	576	410	444	469	749
YDL094C	35	8	7	51	10	53	28	29	14	9	26	14
YDR438W	382	281	260	473	262	390	273	212	161	148	208	372
YDR523C	49	33	24	78	31	52	121	64	27	51	38	106
YDR542W	1	3	3	0	3	3	0	0	0	0	0	2
YDR492W	866	495	617	1241	486	1030	1292	961	468	720	837	1614
YDR018C	261	142	117	238	159	312	48	72	54	36	52	56
YDL189W	1370	982	1211	1835	1045	1463	1036	995	691	878	933	1469
YDR508C	3033	1904	2460	3589	1582	2721	2496	1886	1276	1828	1833	3576
YDR462W	431	471	414	553	312	465	411	334	313	318	339	490
YDR175C	708	483	513	899	440	769	509	508	428	401	457	689
YDR186C	1502	1132	1220	1911	1056	1601	1725	1349	966	1155	1190	2425
YDR150W	2162	1379	1542	2650	1429	1946	1249	1337	893	1064	1178	1669
YDR243C	288	201	184	344	155	242	220	218	129	181	180	284
YDL182W	1199	1268	1270	1593	957	1186	2164	2064	1777	1966	1796	3550
YDR362C	473	351	304	547	344	509	371	324	214	341	276	458
YDR232W	1993	1680	1709	2432	1338	1727	1689	1618	1227	1700	1535	2963
YDR158W	6678	6824	5143	7734	5018	5791	3363	3617	3546	3919	3674	5623
YDR439W	244	195	211	338	183	278	251	175	147	187	175	280
YDL206W	561	273	309	678	305	617	382	384	220	219	359	428
YDR125C	149	77	68	152	86	150	108	125	62	66	84	111
YDR338C	528	359	450	660	300	533	350	331	233	300	315	529
YDR526C	3	3	0	5	1	3	7	3	3	1	2	5
YDR533C	248	173	146	306	156	289	244	204	190	155	198	241
YDR272W	1027	659	576	1218	780	1066	607	601	511	423	578	686
YDR197W	359	183	172	419	188	382	323	246	169	143	210	309
YDR512C	426	445	321	520	337	551	254	231	226	236	212	244
YDR489W	335	301	335	404	233	367	270	218	171	172	196	323
YDR299W	172	74	103	303	91	137	390	242	111	279	217	524
YDL015C	1781	1209	1112	2270	1247	1819	1733	1533	1080	1045	1424	1903
YDR304C	2907	2771	2400	3438	2331	2798	1798	1723	1545	1678	1718	2696
YDR271C	1	0	0	2	1	1	0	0	0	0	0	0
YDL181W	438	327	340	498	297	476	153	229	279	175	223	204
YDR367W	569	510	426	657	412	520	350	327	247	297	305	458
YDR085C	760	441	477	925	506	867	684	925	744	519	995	864
YDL097C	3860	3690	3497	4838	3145	4125	2866	3011	2491	2484	2818	3967
YDL139C	325	275	297	447	226	351	214	186	130	153	153	264
YDR200C	746	347	364	838	441	652	373	387	203	270	349	477
YDR191W	278	162	184	334	140	259	101	99	78	57	95	128
YDR451C	319	268	231	384	237	272	268	291	257	248	305	420
YDR469W	459	555	497	691	410	519	352	321	277	314	283	439
YDR470C	484	328	357	622	323	534	452	349	264	299	276	486
YDR105C	790	718	608	1047	590	710	567	588	474	523	523	766
YDR483W	3629	2607	2266	4116	2350	3274	2897	2565	2108	2261	2331	3337
YDL123W	530	368	439	686	378	546	398	401	297	357	357	561
YDL199C	366	301	241	372	261	387	197	189	143	118	144	211
YDR505C	1047	525	481	1043	585	802	675	758	478	533	670	796
YDL045W-A	450	349	369	599	308	530	419	339	258	282	350	417
YDL045C	782	599	607	993	547	831	448	462	388	355	438	539
YDR361C	504	235	266	618	259	430	708	554	303	481	526	920
YDR406W-A	17	0	1	37	4	18	21	23	9	6	20	8
YDR199W	28	18	9	60	21	42	17	19	12	11	15	18
YDR266C	635	387	332	804	441	616	622	609	340	490	510	840
YDL242W	35	25	17	24	15	36	30	32	20	23	22	26
YDR002W	5642	4256	3311	6799	3632	4916	4026	3785	2633	3543	3638	5465
YDR214W	1163	1162	1010	1417	1041	1147	1029	1231	1022	813	1023	1396
YDR130C	226	171	180	327	187	261	224	206	152	163	211	239
YDL176W	511	334	301	624	319	461	360	265	186	248	271	452
YDR358W	1360	954	871	1519	855	1358	762	799	688	637	858	914
YDR544C	0	1	0	0	0	0	1	0	0	0	0	0
YDR460W	762	501	551	990	500	718	375	381	254	288	344	535
snR84	178	89	85	187	94	162	138	99	96	67	80	148
YDR034W-B	64	64	46	54	49	79	18	34	43	10	47	13
YDL028C	558	265	295	709	313	525	376	320	198	229	276	467
YDR061W	791	446	586	990	485	778	554	507	401	402	459	806
YDR060W	1210	514	621	1730	649	990	1571	1413	573	1273	1225	2307
YDR169C-A	7	4	4	4	2	5	12	6	3	7	6	11
YDR363W	448	233	208	523	279	402	288	325	167	225	311	375
YDR422C	669	420	380	775	458	621	561	548	326	457	428	715
YDR119W	847	597	509	1044	541	780	825	801	457	678	621	1219
tR(ACG)D	0	1	2	1	0	1	0	0	0	0	0	1
YDR097C	636	448	402	760	453	534	384	371	255	348	318	609
YDR042C	58	20	17	69	17	69	29	26	7	16	22	27
YDL160C	1011	828	721	1185	693	827	628	859	700	885	829	1282
YDR425W	325	248	212	410	221	407	285	274	186	171	235	286
snR13	19	16	5	22	13	20	16	6	15	10	12	13
YDR228C	707	381	397	883	447	766	591	539	281	364	451	670
YDR319C	542	526	349	766	458	636	374	400	301	245	314	409
YDR471W	5744	6803	5798	8162	4764	5808	6380	5651	4671	6510	5051	9649
YDR089W	287	196	152	294	172	274	448	599	627	437	463	652
tD(GUC)D	1	0	0	0	0	1	0	0	0	0	0	0
YDR275W	503	442	465	691	325	490	434	424	277	378	355	745
YDR043C	255	189	173	281	150	314	362	207	97	163	161	336
YDR129C	5208	4036	3507	5734	3771	4662	3459	3801	3541	3235	3021	4700
YDR136C	15	11	1	14	6	10	18	10	7	4	4	17
YDL066W	2305	1741	1660	2821	1670	1906	1115	1376	1265	1230	1312	1788
YDR302W	489	333	313	680	276	554	463	335	251	235	318	463
YDR239C	444	325	284	543	259	464	360	285	176	255	248	435
YDR539W	652	449	442	678	403	522	481	538	419	407	450	716
tK(CUU)D1	0	1	0	0	0	0	0	0	0	0	0	0
YDL125C	2915	3774	3123	3427	2265	3306	2267	1961	1991	2132	1956	2748
YDR493W	192	201	177	239	168	189	165	139	152	125	130	223
YDR101C	359	174	233	526	199	335	707	522	231	503	411	1090
YDR182W-A	38	25	24	42	21	52	22	16	10	8	16	18
YDR212W	2747	2031	1826	3393	1788	2241	1967	2057	1337	1853	1865	2993
YDR476C	2005	3445	3418	2569	1914	2390	1253	1118	1418	1413	1160	1968
YDL131W	1522	1370	1250	1888	1147	1383	898	956	884	988	934	1332
YDR458C	845	384	362	1110	469	791	538	511	290	421	446	525
YDR081C	702	437	438	909	481	762	706	518	310	378	448	673
YDL071C	31	41	39	47	22	27	29	24	19	24	24	35
YDR113C	560	427	412	717	402	601	330	269	219	178	298	415
YDR168W	1250	593	493	1557	730	1144	878	914	590	642	871	839
YDR520C	339	162	162	410	189	350	241	201	112	126	139	249
YDR307W	658	394	365	755	453	584	406	369	278	261	376	474
YDR265W	496	361	327	567	330	509	355	333	238	268	289	408
YDL076C	854	533	510	1104	565	986	571	525	326	398	500	553
YDL006W	544	371	362	749	378	524	366	362	281	294	383	506
YDL086W	661	903	790	836	603	751	500	423	471	508	468	660
YDR238C	3731	2944	2642	4352	2701	2964	2315	2814	1765	2510	2477	3963
YDR077W	4197	5164	4795	6202	3978	4769	29603	36809	33528	34977	34881	51560
YDR381C-A	397	328	260	571	317	456	246	192	157	127	172	198
YDL023C	5	5	2	4	1	6	6	3	2	1	0	3
YDL083C	7773	8920	7829	10296	5787	7477	9572	7653	7020	8893	7821	13436
YDR036C	587	439	446	704	370	549	518	532	438	588	489	706
YDR057W	810	548	545	1064	535	821	536	451	326	406	436	646
YDR513W	1536	1187	898	1584	924	1653	1112	1064	903	737	1143	1113
YDR487C	2674	3633	3151	3488	2240	2753	1865	1755	1833	2015	1774	3109
YDR066C	119	110	103	165	96	132	128	108	76	87	100	155
YDR352W	467	478	423	626	367	533	483	429	303	390	443	657
YDR278C	0	0	0	0	0	2	0	1	0	0	0	1
YDR079C-A	203	136	142	222	144	196	106	98	74	100	96	119
YDR204W	887	900	681	1035	751	835	482	553	503	482	521	743
YDL247W-A	1	2	0	0	1	0	0	2	1	1	1	1
YDL024C	123	96	58	125	59	122	24	40	25	26	27	46
tA(AGC)D	0	0	0	1	0	1	0	0	0	0	0	0
YDR109C	442	279	282	518	277	405	301	279	223	217	237	406
YDR466W	890	543	572	1027	602	886	686	640	398	503	610	915
YDR427W	1704	940	820	2005	1049	1783	1300	1198	796	731	1112	1216
YDL044C	233	163	147	313	154	238	125	156	99	93	133	186
YDL079C	871	482	527	963	475	1018	639	769	696	497	818	671
YDR193W	4	2	2	1	1	0	4	3	1	3	1	5
YDR305C	386	283	271	512	283	397	249	231	163	198	214	302
YDR377W	1066	872	783	1246	729	1115	611	616	585	529	560	766
YDR219C	596	248	337	792	321	638	453	396	188	227	394	425
YDR416W	489	320	313	598	303	443	381	360	202	275	305	460
YDR365C	2231	844	1017	3044	1222	1419	2490	2232	1173	2079	2221	3635
YDL233W	611	510	424	706	481	650	364	396	250	346	345	487
YDR287W	757	601	559	962	585	773	383	394	384	269	351	485
YDR448W	354	227	200	556	302	283	196	262	146	228	255	412
YDR180W	378	179	181	478	216	343	315	290	112	190	206	363
tF(GAA)D	0	1	0	2	1	1	2	0	0	0	1	0
tT(AGU)D	0	0	1	0	0	1	0	0	0	0	1	1
YDR294C	2099	1733	1611	2487	1472	2007	1467	1637	1224	1338	1424	2193
YDR198C	260	180	161	363	123	241	222	182	112	160	156	282
YDL163W	0	0	0	0	0	0	0	0	0	0	0	0
YDL119C	312	241	204	409	220	425	197	195	122	126	169	194
YDR501W	75	53	48	116	44	74	98	87	62	63	62	128
YDL214C	197	180	142	184	159	234	62	46	48	31	53	79
YDR264C	2203	1576	1424	2478	1545	1817	1591	1639	1012	1280	1384	2184
YDR343C	232	151	153	245	127	289	359	502	504	238	568	437
YDR373W	901	633	589	1140	592	807	503	530	397	380	457	558
YDR354W	1369	1182	1116	1580	921	1390	649	671	689	598	658	926
YDR246W	791	765	778	1027	665	981	558	562	530	426	480	676
YDR428C	280	239	189	362	176	302	326	267	207	220	253	354
YDR157W	34	54	54	49	33	66	56	33	25	27	26	53
YDR316W	505	207	212	740	277	575	350	326	161	217	314	305
YDL142C	599	313	276	567	327	588	283	286	181	192	263	295
YDR253C	294	268	262	364	239	320	147	147	148	92	132	186
YDL112W	907	495	501	1230	502	814	967	755	397	703	695	1288
YDR545W	0	0	1	0	0	0	0	0	0	0	0	0
YDL187C	1	1	0	2	1	2	3	1	0	0	1	0
YDL138W	627	662	627	728	548	638	438	396	349	408	381	636
YDR528W	215	187	177	352	198	212	98	100	100	85	105	122
YDR284C	1322	1125	872	1580	919	1313	766	759	734	656	775	1034
YDR050C	55045	58051	49374	67775	43843	50656	44088	41196	40057	45170	42064	66406
YDL010W	410	186	158	548	263	411	167	193	113	113	150	170
YDL065C	864	543	460	1236	568	899	661	580	389	453	555	647
YDR349C	1968	1762	1664	2384	1397	1864	1260	1170	933	1052	981	1855
YDL098C	217	118	119	256	118	242	123	94	77	87	101	125
YDL234C	1418	1085	801	1608	1057	1352	1282	1534	1198	1534	1153	1398
YDR118W	272	149	129	327	171	243	166	193	87	105	137	205
YDR118W-A	7	0	6	11	2	7	8	0	0	3	4	2
YDR159W	779	423	461	1024	456	780	639	568	349	416	490	750
YDR111C	1771	825	878	1832	935	1453	537	488	273	431	441	851
YDR128W	1503	733	826	1757	860	1256	657	779	446	572	741	994
YDL034W	12	2	1	10	3	6	4	7	0	4	6	5
YDR065W	120	73	50	166	93	119	133	93	75	71	100	133
YDL004W	1469	1515	1261	1811	1088	1553	876	839	795	830	879	1025
YDR024W	20	5	5	53	15	29	36	26	3	3	7	24
YDL171C	3440	2823	3133	3918	1923	2540	2859	2558	1983	3081	2207	4954
YDR083W	388	94	113	589	156	283	471	420	147	282	394	593
YDR457W	2455	1612	1565	3071	1695	2183	1653	1894	1167	1562	1692	2498
YDR014W	182	89	93	216	126	183	136	129	59	104	106	135
YDR206W	1121	984	1038	1435	729	1164	971	798	631	778	714	1353
YDR478W	113	77	54	126	58	104	82	74	46	60	60	100
YDR169C	1054	929	884	1427	848	1180	778	814	574	627	736	1037
YDR115W	341	370	350	399	286	429	313	253	266	254	282	374
YDL159W-A	5	0	1	1	0	6	4	0	1	0	0	1
YDL232W	268	445	337	319	204	304	224	199	195	257	192	258
YDL240C-A	2	0	1	3	0	3	0	0	3	0	0	2
tE(CUC)D	0	0	0	0	0	0	0	0	0	0	0	0
YDL152W	0	1	0	0	0	0	0	0	0	0	0	0
YDR432W	3572	2561	2497	4437	2198	3252	2632	2928	2218	2322	2575	4142
YDL022C-A	2	0	1	1	0	0	1	0	0	0	0	1
YDL114W-A	6	2	5	5	5	5	4	8	0	5	3	3
YDR410C	486	302	275	584	311	525	370	310	220	226	323	375
YDR464C-A	0	0	0	0	0	0	0	0	0	0	0	0
YDL072C	3305	2866	2415	4055	2342	3854	1960	2078	1979	1631	1992	2272
YDR053W	1	1	1	1	1	1	3	1	1	1	2	3
YDL012C	611	843	726	975	561	778	590	511	484	590	489	819
YDR482C	671	1028	966	937	638	698	490	497	575	646	463	863
YDL070W	1721	819	684	2027	797	1564	1903	1745	1006	1146	1664	1746
YDR064W	13340	13895	11377	16974	10212	12616	14516	12194	10120	12936	12078	20294
YDL135C	971	577	447	1207	628	912	565	586	389	362	540	578
YDL077C	504	348	331	621	427	541	430	449	244	286	350	495
YDR354C-A	0	0	0	0	0	0	0	0	0	0	0	0
YDL033C	111	165	111	178	114	136	186	208	134	146	157	295
YDL031W	844	379	436	1180	477	696	1078	861	405	844	778	1533
YDR398W	783	600	666	1082	533	780	1354	905	565	971	809	1732
YDR326C	1174	578	610	1447	654	1030	867	811	440	588	673	1055
YDL052C	1463	1513	1482	1818	1070	1654	1516	1294	1105	1160	1146	1852
YDR536W	240	151	136	221	136	266	112	103	74	77	74	138
YDR397C	33	27	17	32	24	36	54	38	30	43	54	45
YDL116W	815	444	440	1045	502	817	618	576	344	467	524	732
YDR028C	3523	2248	2089	3979	2451	3064	1995	2425	1728	2078	2316	3184
YDL007W	5064	2769	2879	6531	3266	4499	2940	3045	2211	2090	2897	3409
YDR236C	621	557	522	782	439	689	434	337	362	315	349	463
YDR011W	1483	989	906	1654	906	1273	2363	2213	1631	2213	2106	3270
YDR155C	7075	8814	6376	8947	5433	7436	7163	7000	6604	7806	7754	9996
YDR414C	342	233	203	389	234	365	309	300	166	193	249	368
YDR026C	901	575	617	1156	604	832	610	555	328	495	490	849
YDL073W	892	411	433	1194	553	748	603	599	295	434	479	656
tY(GUA)D	1	1	0	0	0	0	0	0	0	0	1	1
YDL115C	812	434	365	982	440	820	425	447	270	291	366	399
YDL145C	4764	2810	2787	5482	3162	3882	3266	3766	2350	3134	3521	5099
YDR203W	3	0	1	1	0	2	0	1	0	0	4	1
YDL104C	211	124	118	220	153	220	174	147	93	83	117	176
YDL149W	552	391	400	693	420	480	323	339	226	246	282	358
YDR231C	345	230	201	355	178	348	205	168	210	118	193	209
YDR045C	400	396	339	542	276	364	348	298	195	295	277	437
YDL075W	10904	8059	7356	14270	7659	10126	10641	9600	7013	8079	8121	14101
YDR415C	542	379	383	662	400	566	386	384	321	288	372	470
YDR339C	497	361	380	645	319	534	541	400	275	355	398	604
YDL213C	1472	731	871	1961	924	1405	1214	1042	598	938	1069	1514
YDR096W	2313	1605	1705	2731	1529	2528	1536	1615	1040	1151	1391	1827
YDL019C	2020	1646	1316	2238	1526	1764	1340	1741	1285	1388	1505	2001
YDL022W	2187	3199	2383	2718	2136	2213	4003	4396	4173	4035	3954	5634
YDR413C	3	0	1	4	0	3	0	1	1	2	4	4
YDR391C	742	834	652	906	667	866	677	707	786	729	649	857
YDR091C	732	369	453	882	398	624	1283	1012	496	899	820	1606
YDR240C	195	130	140	265	126	213	163	141	94	130	128	216
YDL244W	60	62	56	59	29	70	8	12	8	5	9	18
YDR179C	76	30	30	81	33	63	49	52	17	23	52	51
YDL165W	455	408	333	549	377	485	364	354	252	269	333	441
YDL140C	4791	5390	5755	6346	3904	4756	3819	4587	3082	4494	3929	7540
YDR120C	636	324	419	897	369	506	796	719	332	581	604	1276
YDR003W	877	794	697	1139	531	1028	527	472	405	403	441	530
YDR499W	476	279	339	620	330	441	266	249	162	176	229	305
YDR166C	523	252	230	609	338	573	494	443	254	279	390	462
YDL092W	903	555	569	1211	560	870	696	638	384	485	561	797
YDL041W	0	0	0	0	0	1	0	1	2	0	1	0
YDL241W	130	76	88	169	83	126	343	280	310	222	209	360
YDL082W	6097	4646	4224	7410	4212	6492	6949	5377	4075	4735	4754	7729
YDR277C	794	375	451	886	427	780	1665	1827	1370	1150	1748	1942
YDR291W	608	362	300	718	399	482	454	479	288	341	386	614
YDR475C	1407	1158	1164	1701	1006	1345	834	918	697	881	776	1258
YDR244W	891	486	477	1211	549	860	575	575	368	456	541	697
YDR407C	971	409	399	1097	517	806	523	569	351	405	513	706
YDR382W	16459	11149	10164	21299	11250	12873	13316	13138	9643	11957	12146	20062
YDR102C	12	14	10	11	4	8	11	7	13	3	6	5
YDL188C	1011	861	808	1208	790	933	749	766	586	728	711	1057
YDR405W	1154	1030	1104	1394	816	1194	908	914	806	795	897	1290
YDR443C	555	324	345	560	382	454	346	378	215	335	333	430
YDR059C	672	560	471	730	485	792	213	252	220	170	237	243
YDR144C	850	692	671	1126	659	812	881	758	463	640	647	1203
YDL157C	827	451	461	1080	526	690	416	475	288	300	352	453
YDL058W	1698	685	672	2404	1008	1339	820	967	471	723	954	1089
YDL096C	2	3	1	2	1	1	3	4	0	6	1	1
YDL155W	1051	724	763	1362	690	1077	605	585	415	466	490	874
YDR147W	451	270	275	607	304	472	281	249	170	195	249	349
YDL191W	2961	3645	2999	4091	2041	2711	3304	2573	2432	2679	3216	3887
YDL128W	1882	1324	1458	2334	1260	1836	1469	1324	949	1014	1097	1931
YDR310C	1257	786	940	1405	843	1194	832	867	602	726	818	1269
YDL160C-A	190	274	190	239	176	223	183	135	159	143	152	203
YDR127W	2811	2374	1975	3185	2007	2329	2109	2244	2010	2314	2011	3430
YDR497C	7672	5761	6438	9010	4732	6306	4689	5023	5044	5095	4783	8174
YDL162C	2	1	1	2	1	0	2	4	3	1	1	1
tS(AGA)D3	0	0	0	0	0	0	0	0	1	0	0	0
YDR201W	415	379	286	532	254	442	207	233	169	190	256	329
YDR163W	389	284	281	677	295	514	307	253	196	207	264	331
YDL146W	558	405	321	660	393	567	550	557	381	380	507	652
YDR363W-A	1077	869	765	1507	820	1222	777	678	642	635	743	689
YDL221W	76	72	60	107	52	96	48	36	45	24	36	74
YDL089W	468	271	249	626	310	479	325	320	232	202	298	331
YDR385W	3212	2670	2458	3972	2310	3033	2959	2565	2101	2656	2352	4219
YDR331W	576	463	368	737	372	571	480	424	308	364	372	614
YDR196C	877	732	739	1091	576	918	628	612	484	499	559	649
YDR116C	615	456	454	830	378	720	591	510	420	363	514	670
YDR001C	2494	2051	1746	2636	1690	2431	1886	2330	1960	1799	2207	2309
YDL230W	644	653	751	848	511	708	504	432	498	383	437	707
YDR160W	744	545	484	902	412	706	502	541	362	441	433	692
YDR123C	323	355	311	374	242	315	199	133	88	161	103	351
YDR322W	509	331	351	526	299	488	478	414	348	295	357	493
YDR040C	135	100	100	175	84	115	110	131	115	107	117	123
YDR025W	9274	14949	12822	12639	8843	9751	10521	8307	8935	11649	8734	17208
YDR046C	2469	1838	1945	3156	1564	2089	2315	2229	1996	2197	1943	3270
YDL057W	271	275	234	312	207	311	125	143	149	119	145	197
YDL248W	91	69	29	74	69	78	65	87	57	55	89	67
YDR008C	25	5	7	44	10	30	17	17	10	13	16	18
YDR029W	47	10	9	33	23	27	41	53	13	31	48	39
YDR485C	961	536	569	1142	591	972	603	541	318	425	530	698
YDR408C	1418	1598	1535	1842	1225	1416	1181	1179	1318	1108	1030	1967
YDR038C	188	207	135	232	150	221	145	152	113	115	131	164
YDL204W	405	301	282	425	232	401	378	396	494	311	462	418
YDR019C	207	234	196	276	142	188	452	616	1254	593	545	731
YDR477W	1482	936	911	1803	908	1424	1207	1290	846	980	1130	1694
YDR254W	417	212	216	479	255	454	256	268	152	155	221	274
YDR514C	378	286	339	624	284	395	373	269	167	305	284	503
YDR296W	1076	1063	1053	1355	768	1095	786	778	768	693	746	1200
YDL216C	397	386	303	431	289	389	281	249	207	229	257	303
YDL100C	4052	3953	3188	4765	3164	3127	2372	2618	2148	2611	2394	4004
YDL068W	4	1	2	3	2	6	6	0	0	5	3	3
YDL026W	2	1	0	1	1	1	0	0	0	0	0	2
YDL124W	2359	2221	1610	2716	1874	2427	2357	2768	2961	2149	2393	2789
YDL227C	55	31	38	84	35	55	175	106	82	126	132	264
YDL111C	612	558	513	680	429	559	643	517	351	475	511	908
YDR324C	349	128	154	507	189	320	585	446	198	436	368	792
YDL170W	496	308	283	548	313	442	269	290	357	258	290	316
YDR317W	143	89	84	197	103	189	136	91	55	64	93	124
YDR436W	1342	1074	946	1482	957	1160	642	736	573	550	631	940
YDR208W	1248	647	689	1436	682	1195	688	686	455	502	634	920
YDR386W	405	188	191	518	234	392	217	195	108	127	144	218
YDR504C	74	19	22	120	36	113	52	44	19	5	40	16
YDL220C	307	191	186	325	201	281	182	204	143	164	203	297
YDR396W	38	22	17	50	18	47	59	39	35	24	40	59
YDR258C	1237	1019	747	1600	1054	1141	1028	1202	1080	959	1035	1217
YDR176W	1540	768	883	1909	950	1553	896	792	489	588	760	1094
YDL099W	1565	856	819	2163	1038	1709	1044	914	635	646	1061	1041
YDR380W	471	396	351	517	354	636	374	395	335	255	357	408
YDL110C	2636	2524	2430	3216	1826	2815	1397	1568	1598	1277	1603	1942
YDR148C	1630	1161	1095	1823	1202	1563	1078	1145	1001	888	1106	1497
YDL201W	468	304	326	699	281	440	636	541	304	484	447	877
YDL107W	326	157	126	430	200	365	212	211	160	132	202	211
YDR515W	259	114	138	369	140	227	249	227	140	169	211	265
YDR133C	3489	2620	2776	4275	2170	4305	6599	5459	4065	4203	5343	7646
YDR378C	968	900	780	1168	673	897	673	616	599	586	616	901
YDR473C	469	281	244	615	360	421	277	274	167	200	247	376
YDR403W	98	58	49	93	49	90	60	51	46	34	36	57
YDR268W	263	139	116	284	147	275	226	205	134	114	182	239
YDR409W	550	465	458	664	430	614	494	403	311	380	352	615
YDR173C	308	219	196	456	204	324	276	195	117	204	184	268
YDR187C	12	14	8	14	9	13	8	29	11	14	17	19
YDR389W	678	574	568	867	509	650	619	556	417	462	495	797
YDR417C	6	4	3	7	0	5	9	8	3	10	3	4
YDR165W	470	214	207	676	327	449	699	649	271	419	491	832
YDL113C	1011	495	403	1172	566	968	564	598	353	416	513	575
YDR426C	3	0	0	5	0	8	0	2	0	0	1	0
YDR521W	0	0	0	4	1	0	0	0	0	1	0	5
YDR086C	2475	1563	1431	3070	1527	2321	1526	1302	988	1128	1313	1649
YDL021W	298	225	182	328	212	303	104	130	111	76	127	121
YDR023W	5113	2520	2300	6519	3249	4354	4428	4217	2569	3169	3831	5540
YDR394W	3399	3229	3432	4133	2754	3380	2607	2865	2409	2376	2516	4023
YDR320C-A	296	262	228	392	223	385	217	206	164	125	160	198
YDR003W-A	246	149	162	340	190	348	138	130	90	76	100	106
YDR183W	220	165	145	283	151	218	181	171	121	127	123	200
YDR245W	1726	1266	1273	2191	1093	1722	1542	1252	878	1142	1262	1800
YDR431W	2	0	0	2	1	1	1	1	3	1	4	3
YDL154W	58	47	44	66	52	60	138	127	89	92	99	145
YDL184C	5830	3907	3110	8306	3809	5467	4930	4131	3167	3533	4013	5034
YDR153C	1240	1028	985	1782	850	1382	848	734	523	656	774	1096
YDR014W-A	9	3	2	10	6	8	2	5	3	2	4	5
YDR434W	1172	722	698	1514	759	1058	761	805	531	594	702	1039
YDL002C	588	299	244	762	353	579	354	331	197	253	312	414
YDR225W	8521	4675	5136	10251	4475	8966	9470	8299	5014	5404	7847	10265
YDR418W	2372	1742	1478	2819	1777	2451	2181	1963	1344	1694	1797	2598
YDR224C	9027	4942	4689	11507	5561	9309	8364	8109	4307	5042	7108	9246
YDR502C	2118	1685	1882	2758	1442	1632	1618	1693	1846	1672	1560	2777
YDR447C	5300	3747	3165	6734	3460	4502	5738	4616	3276	4275	4574	6814
YDL039C	347	463	382	488	285	399	3019	2269	1418	2574	1813	4974
YDL225W	1257	635	620	1535	789	1081	743	796	435	627	703	1022
YDR259C	334	195	171	443	237	389	144	140	88	77	98	123
YDR495C	408	163	183	539	219	438	327	278	154	150	277	293
YDL151C	2	2	1	12	0	5	13	3	2	2	7	6
YDR357C	215	129	104	277	122	256	150	125	81	90	127	108
YDR370C	388	211	241	486	247	407	318	253	145	201	201	351
YDR298C	1785	1112	983	1996	1112	1547	922	926	793	729	868	1135
YDR276C	3777	4824	4060	5507	3414	5106	3896	2983	3283	3168	3018	3769
YDL185C-A	17	5	1	11	1	3	25	20	12	20	22	12
YDR545C-A	0	0	0	0	0	0	0	0	0	0	0	0
tM(CAU)D	0	0	0	0	0	2	0	0	0	0	0	0
YDL247W	8	5	6	6	5	7	3	1	5	4	1	3
YDR406W	842	549	542	893	485	750	2095	2367	1450	1652	2197	2709
YDR273W	297	204	187	428	235	313	147	120	66	104	125	209
YDR269C	1	0	1	2	0	0	1	1	0	1	0	0
YDR453C	356	172	157	301	181	341	204	240	242	128	257	187
YDR383C	423	284	241	673	270	495	289	174	149	143	206	210
YDR375C	674	473	552	840	430	691	524	525	397	351	457	716
YDL161W	1644	1874	1731	2350	1382	1801	1106	1216	1177	1284	1229	1763
YDL051W	766	502	451	889	423	565	808	655	450	699	646	1218
YDR084C	799	718	610	1069	642	823	500	520	440	341	432	594
YDL056W	758	407	481	911	471	758	525	431	277	352	415	594
YDR344C	152	72	71	129	66	115	58	41	30	39	28	70
YDR320C	609	357	361	706	413	638	328	329	225	239	320	369
YDR221W	768	592	477	783	589	623	424	476	335	407	426	607
tI(AAU)D	0	1	1	0	0	2	0	0	0	0	0	0
YDL032W	0	0	0	1	0	1	1	0	0	0	0	0
YDR456W	1692	882	848	1988	1029	1421	805	818	555	579	767	949
YDL036C	335	195	202	441	205	350	303	196	126	177	197	332
tL(CAA)D	0	0	0	0	1	0	0	0	0	0	0	3
YDL217C	600	406	512	720	392	545	410	389	294	346	381	596
snR63	128	80	53	128	62	131	128	116	84	52	101	133
YDR334W	1781	965	1090	1970	1005	1560	997	1162	665	817	917	1438
YDL049C	426	285	372	559	233	421	344	265	226	278	272	543
YDL164C	749	407	458	876	468	566	399	434	300	337	363	552
YDR384C	629	369	378	809	357	666	768	707	452	605	650	1144
YDR149C	0	0	0	0	0	1	0	1	0	0	0	0
YDR093W	2584	1942	1994	2716	1707	1943	1618	1778	1256	1592	1531	2623
YDR071C	2141	1201	1160	2587	1262	2022	1504	1241	955	1012	1279	1436
YDL143W	3105	2934	2595	4156	2434	2687	3086	3175	2323	2996	2762	4898
YDR032C	4398	4354	3813	5188	3500	4182	1907	2207	2275	1984	2205	2996
tR(UCU)D	0	0	0	0	0	0	0	0	0	0	0	0
YDR063W	656	550	412	848	492	808	503	476	347	351	406	380
YDL166C	743	837	911	995	545	728	629	515	517	608	533	1009
YDR004W	591	335	391	707	380	563	357	384	210	235	316	383
YDR151C	822	743	725	1067	577	977	708	575	372	498	558	898
YDR037W	7451	5976	5390	8956	5418	6032	7235	7380	5401	7120	6141	11426
YDL175C	432	367	372	579	279	483	348	293	225	246	272	411
YDR286C	233	232	203	272	177	215	138	127	117	95	106	190
YDR172W	3446	2525	2606	4318	2517	2960	2921	3008	1913	2807	2671	4753
