	SRR6357070_ReadsPerGene.out.tab	SRR6357071_ReadsPerGene.out.tab	SRR6357072_ReadsPerGene.out.tab
YOL034W	1609	2411	1887
YOR052C	3305	4332	3483
YOR190W	193	304	207
YOL039W	28236	37387	35849
YOR349W	1174	1573	1278
YOL090W	5474	7369	5604
YOR271C	5340	8012	6641
YOR173W	427	680	458
YOR106W	1215	1710	1323
YOR108W	7065	10351	8444
YOR059C	1191	1867	1467
YOL149W	1245	1765	1551
YOR121C	386	507	439
YOL106W	44	63	42
snR9	8028	11900	17505
YOR295W	386	622	492
YOR203W	35	39	36
YOR132W	2872	3979	3027
YOR216C	2287	3451	2691
YOR099W	7583	12467	9812
YOR001W	5227	7858	5948
YOR009W	181	268	233
YOR204W	39843	53992	45242
YOR209C	9109	12946	10570
YOR284W	330	463	377
YOR036W	1196	1680	1390
YOR154W	1440	2316	1626
YOR048C	8468	12004	8939
YOL073C	910	1334	1066
YOL152W	664	985	409
YOL101C	1198	1737	1091
YOR085W	4924	7591	6396
YOR227W	2569	3768	3134
YOR159C	683	942	779
YOR146W	0	0	0
YOR372C	2663	3669	3053
YOR112W	2425	3450	2760
YOR387C	86	152	97
YOR229W	1097	1690	1390
YOR068C	0	0	0
YOR376W-A	190	290	244
YOL050C	9	8	8
YOR342C	2563	3904	3074
YOL035C	32	54	43
YOR251C	2356	3118	2557
YOR041C	6	7	5
YOR130C	567	902	667
YOR119C	1838	2869	2305
YOL166C	1	0	2
YOR008C	3806	5418	4456
YOL011W	2638	3812	3276
YOR248W	49	62	68
YOR202W	994	1406	1193
YOR266W	824	1201	914
YOR140W	1308	2175	1899
YOR004W	2159	3186	2558
YOR308C	1243	1789	1296
YOR032C	227	407	343
YOR311C	1661	2718	2135
YOL019W	2811	4111	3105
YOL138C	2002	3102	2342
YOL151W	1411	1950	2050
YOR330C	3934	5800	4724
YOR379C	0	1	0
YOR142W	5695	8800	6902
YOR268C	19	24	35
snR81	816	1005	1634
YOR017W	1934	2768	2118
YOR394W	0	0	0
YOL134C	1	2	4
YOR002W	3806	5531	4510
YOR194C	801	1321	1109
YOR298C-A	13348	17734	13313
YOL069W	1135	1557	1325
YOR014W	7425	10314	8562
YOR346W	3437	4815	3750
YOR044W	368	493	444
YOR275C	2497	3548	2609
YOR174W	1118	1583	1266
YOR336W	4288	6722	5042
YOL094C	1459	2018	1598
YOR122C	9138	14441	11628
YOR256C	2821	4147	3042
YOL137W	1107	1588	1296
YOR350C	1183	1693	1411
YOR196C	1984	2901	2160
YOR380W	546	822	698
YOR314W-A	3	3	4
tA(UGC)O	0	1	2
YOL097W-A	63	82	65
YOR376W	8	17	15
YOR369C	80667	102094	95266
YOL132W	77	118	111
YOR296W	2050	3154	2305
YOR260W	8886	12425	9805
YOR373W	1696	2307	1932
YOR163W	1324	2102	1677
YOR029W	32	26	29
YOL042W	1276	1634	1278
YOR316C	1836	2404	2053
YOR326W	21135	30554	22570
YOR293C-A	76	142	113
YOL036W	2487	3603	2808
YOR072W-B	0	0	0
YOR332W	3305	3840	3320
YOL002C	2395	3669	2805
YOR193W	635	915	695
YOR243C	6959	10211	7661
YOR126C	710	1028	807
YOR070C	1544	2223	1746
YOR328W	1824	2791	2003
YOL056W	1038	1525	1302
YOR098C	6615	10865	8406
YOL110W	358	305	362
YOR213C	965	1339	1001
YOR253W	1611	2216	1902
YOR008C-A	46	78	78
YOL113W	1484	2111	1535
YOR060C	596	1032	714
YOL076W	4906	6967	5409
YOR186C-A	0	0	0
YOR381W	617	910	712
YOR113W	1905	2767	2075
YOR273C	2908	4319	3493
tN(GUU)O1	3	5	7
YOR161W-A	0	0	0
YOL147C	822	1186	916
YOR338W	1007	1659	1256
YOR178C	628	751	645
YOR188W	3762	5427	4369
YOL159C	504	611	500
YOR382W	775	1108	1169
YOL071W	394	607	460
YOR363C	1230	1913	1436
YOR069W	1932	2717	2098
YOR075W	960	1228	1021
YOR124C	6394	9505	7105
YOR008W-B	38	55	50
snR31	7258	9682	16505
YOL025W	975	1418	1057
YOR057W	1423	2182	1687
YOR265W	890	1217	1147
YOL127W	57490	72462	65517
YOR107W	1108	1562	1640
YOL142W	1345	2113	1734
YOR239W	6405	9412	7579
YOL091W	162	217	202
YOR317W	8394	10995	8651
YOR370C	6536	9376	7324
tM(CAU)O1	5	11	10
YOR211C	2949	4402	3205
YOR191W	5015	7994	6028
YOL064C	2669	4022	2971
tT(AGU)O1	0	0	0
YOL049W	5430	7376	5764
YOL043C	460	658	530
YOR043W	3096	4700	3550
YOR331C	1	0	1
YOR309C	213	413	313
YOR104W	366	541	454
YOL114C	152	185	159
YOR300W	5	10	12
YOR220W	2480	3565	3001
YOR378W	479	817	579
YOL059W	5537	7746	6298
YOR386W	655	991	719
YOL027C	5080	8293	5944
snR62	71	143	145
snR17a	91133	140757	212714
YOL155C	12354	16861	13486
YOR375C	22543	29586	27857
snR35	12428	15824	24472
YOR100C	97	101	103
YOL026C	769	1082	925
YOL012C	2838	3571	3211
YOR026W	869	1333	1069
YOR359W	1913	2662	2507
YOR250C	1216	1630	1322
YOL013C	1881	2664	1970
YOR272W	4730	6848	5540
tG(GCC)O2	6	5	3
YOL164W-A	19	44	35
YOL082W	1465	2267	1663
snR36	436	708	650
YOR035C	2317	3548	2627
YOL016C	9696	12861	11808
YOR007C	16802	25133	18150
YOR325W	0	0	0
YOL085W-A	44	76	72
YOL160W	21	20	16
YOR361C	19442	26909	22076
YOL158C	4366	5409	5331
YOR315W	3259	5258	4437
YOR010C	146	213	218
YOR384W	1389	2036	1538
YOR234C	16442	22010	19557
YOR283W	1747	2654	2219
YOR020W-A	442	641	583
YOL045W	2783	4077	3238
YOR102W	22	34	20
YOL128C	544	969	745
YOR360C	3461	5196	3955
YOL097C	9573	13866	11491
YOR164C	3363	4737	3958
YOR175C	6739	9711	7110
tP(UGG)O1	0	0	0
YOR086C	10236	15599	11742
YOR242C	256	335	271
YOR155C	1558	2365	1853
YOL019W-A	3	6	2
YOL030W	7967	11469	9376
YOR323C	10099	14561	11209
YOL017W	596	934	754
YOR233W	2936	4191	3353
YOL037C	21	38	35
YOR083W	273	266	243
YOL010W	2273	3517	2766
YOR118W	2132	3128	2392
YOR128C	2985	5205	3662
YOL125W	1531	2348	1755
YOL004W	14130	19654	15707
YOR177C	146	171	109
YOR166C	1305	2072	1546
YOR006C	1109	1659	1284
YOR324C	1090	1643	1247
YOL024W	29	29	29
YOR033C	1751	2388	1812
YOL033W	860	1371	983
YOL070C	2175	3277	2819
YOR116C	15490	21576	16176
YOL067C	831	1241	888
YOR145C	2069	3345	2709
YOR304C-A	259	394	373
YOR192C	295	497	347
YOL109W	32828	41744	35246
YOR078W	2018	3278	2619
YOR134W	220	296	224
YOR131C	859	1187	934
YOR368W	914	1165	942
YOL111C	1932	2649	2177
YOR168W	19695	26907	20327
YOR226C	1062	1380	1257
YOL162W	24	40	25
YOR334W	361	621	454
YOR241W	3277	4876	3903
tP(UGG)O2	0	0	0
YOR245C	1346	1945	1416
YOL009C	302	473	378
YOR153W	84232	134704	165870
YOR358W	289	560	417
YOR335W-A	0	0	0
YOR170W	32	46	35
YOR267C	5355	6902	6013
YOR081C	2087	2938	2566
YOL145C	7332	10414	8125
YOL156W	191	200	164
YOR322C	3728	5185	3944
YOL044W	619	851	714
YOR054C	586	883	640
YOL031C	1511	2145	1816
YOR034C-A	150	133	116
YOR306C	2201	3134	2611
YOR261C	6993	9178	7258
YOR293W	32792	46281	41159
YOR062C	439	666	517
YOR339C	68	113	85
YOR067C	3240	4689	3654
YOR312C	41260	60040	53267
YOR094W	757	1037	834
YOL135C	622	846	699
YOL105C	736	1218	871
YOR329W-A	1	2	7
YOR197W	8278	10497	8641
YOL104C	736	1162	566
YOR262W	1595	2193	1690
YOR167C	17435	25075	24701
YOL015W	290	364	316
YOR161C	1004	1437	1135
YOR393W	0	0	0
YOR105W	19	43	23
YOR210W	2318	2988	2544
YOR364W	7	19	18
YOL087C	3166	4534	3543
YOR127W	3535	5175	3800
YOR184W	9236	13128	8953
YOR150W	1145	1535	1235
YOR179C	648	900	729
YOR340C	4895	6873	5103
YOR354C	3343	4934	3441
YOR217W	3266	4877	3719
YOR298W	314	484	365
YOL006C	3476	5412	4041
YOR259C	6893	10005	7586
YOR318C	71	102	94
YOR320C	2995	4627	3393
YOR222W	1547	2305	2168
YOL165C	8	9	26
YOL007C	2169	3206	2352
YOR307C	2036	2761	2266
YOL051W	3942	5689	4712
YOR091W	4472	5913	4762
YOR079C	981	1330	1006
YOL022C	3047	4381	3296
YOR278W	803	1073	829
YOR024W	4	13	14
YOL148C	1927	2479	1940
YOL078W	1708	2576	2040
tP(UGG)O3	28	30	41
YOR089C	1809	2708	2142
YOL098C	8930	13551	10243
YOR171C	2875	4028	3069
YOL089C	2139	2938	2204
YOL150C	1	0	0
YOR095C	3210	4330	3645
YOL146W	524	857	686
YOR224C	4573	7155	5931
YOR302W	163	304	182
YOR286W	1539	2237	1703
YOR046C	9310	11986	9612
tG(CCC)O	10	13	11
YOR388C	14	25	28
YOR228C	397	623	522
YOL112W	693	1165	860
YOR141C	3075	4706	3594
YOL131W	22	21	29
YOR049C	700	915	957
YOL143C	4857	8097	6115
YOR172W	1762	2845	2093
YOR149C	1342	1969	1488
YOL164W	820	1317	963
YOR011W	1936	2762	2127
YOR071C	1603	2512	1757
YOR022C	999	1460	1036
YOR125C	697	1058	836
YOL141W	1335	2044	1477
YOR101W	2638	3954	3434
YOR263C	8	20	17
YOR383C	1712	2878	2601
YOR056C	3241	4904	3935
YOL075C	1952	2999	2129
YOR073W-A	0	1	3
YOR246C	2528	4152	3350
YOR042W	2049	3313	2349
YOR236W	970	1514	1091
YOR183W	8	8	9
YOR176W	3686	5429	4417
YOR238W	865	1203	891
YOR367W	985	1300	1096
YOR297C	855	1330	1086
YOR310C	17245	24435	19381
YOR063W	184048	281991	221762
YOR189W	648	988	791
YOL129W	2496	3692	2908
YOR280C	959	1274	1080
YOR037W	668	945	703
YOR090C	2756	3815	3064
YOR313C	110	139	145
YOL032W	912	1133	905
YOR158W	1260	1980	1381
YOR162C	1264	1894	1406
YOL092W	3496	5317	4328
YOL061W	6161	9346	7362
YOR232W	5259	7386	5615
YOR219C	3250	4362	3586
YOR182C	13482	19394	21599
YOL099C	100	121	92
YOR294W	3034	4673	3569
YOR288C	885	1283	1081
YOR110W	1219	1839	1429
YOR040W	415	617	447
YOL083W	205	331	232
YOL136C	4643	6339	5711
YOL130W	5627	8770	6828
YOL021C	7620	11377	8883
YOR282W	1	0	0
YOL077W-A	974	1352	1162
YOR319W	691	1027	775
YOR030W	1713	2649	1931
YOR291W	3798	5721	4467
YOL077C	6458	8589	7040
YOR390W	359	556	424
YOL052C-A	145	196	135
YOR123C	1401	2290	1809
YOR013W	127	205	161
YOR249C	1145	1525	1203
YOR362C	6368	8594	7099
YOL058W	927	1383	1125
YOR143C	1264	1769	1448
YOR347C	1104	1694	1268
YOL157C	145	268	158
YOL057W	5216	7178	5905
YOR321W	2455	3700	2893
YOR015W	868	1195	987
YOR111W	377	578	492
YOL008W	659	834	694
YOR279C	433	626	485
YOR394C-A	1	5	6
YOR180C	213	303	229
YOL055C	720	1106	811
snR5	10044	16645	22479
YOL139C	13984	19577	16599
YOR287C	803	1261	1032
YOR198C	17957	24949	20508
YOR053W	6	9	15
YOL054W	738	1152	887
YOR012W	93	122	123
YOL118C	85	128	86
YOR034C	2236	3016	2390
YOR374W	3717	5967	3061
YOR018W	1330	1906	1431
YOL084W	215	337	243
YOR314W	15	28	37
YOR050C	163	235	166
YOR391C	3	4	1
YOR327C	2169	3665	2864
YOR352W	836	1117	927
YOR348C	143	207	190
YOL115W	2259	3354	2567
YOR066W	1637	2230	1940
YOR072W-A	13	25	17
YOL096C	625	914	686
tM(CAU)O2	5	6	9
YOR020C	6843	9448	6890
YOR133W	57482	79377	62609
YOR356W	3256	4808	3884
YOR208W	1931	2848	2260
YOR357C	762	1106	915
YOR277C	1	5	1
YOR276W	842	1406	1195
YOR247W	3854	5791	5182
snR50	101	166	230
YOL047C	99	175	113
YOR221C	1481	2288	1564
YOR344C	6376	8663	8211
YOR269W	1150	1605	1233
YOR152C	360	531	508
YOR103C	34	63	56
YOR377W	2126	3099	2448
YOR129C	1224	1764	1401
YOL038C-A	54	93	73
YOR156C	1218	1735	1384
YOR329C	2215	3043	2775
YOR351C	119	154	139
YOL040C	48019	71138	62774
YOL159C-A	157	158	156
YOR051C	5495	7532	6618
YOR003W	363	551	367
YOR064C	418	608	482
YOR073W	1032	1629	1267
YOR201C	805	1453	1000
YOR065W	2349	3011	2647
YOR186W	15	16	13
YOR045W	1126	1792	1545
YOL018C	1005	1438	1092
YOL133W	269	395	330
YOR087W	2129	3229	2430
YOL028C	972	1328	1097
YOL086C	255432	442198	341026
YOL108C	352	477	377
YOL023W	847	1322	942
YOR011W-A	5	14	13
YOR165W	5744	8722	6487
YOL068C	3526	4679	3814
YOR138C	1801	2710	2087
YOR016C	1562	2147	1849
YOL121C	22275	29366	26650
YOL126C	4725	6848	5283
YOR235W	165	216	237
YOR080W	1357	1965	1569
YOR169C	0	0	0
YOR028C	271	334	287
YOR225W	53	59	51
YOR108C-A	0	0	0
YOR109W	7648	11350	8696
YOL093W	1140	1642	1305
YOR147W	2130	2857	2274
YOR218C	13	19	18
YOR254C	10286	14759	11515
YOL080C	840	1149	997
YOR161W-B	0	0	0
tY(GUA)O	5	5	5
YOR136W	5909	9526	6913
tR(ACG)O	2	1	0
YOR192C-C	175	301	208
YOR205C	1395	2003	1541
YOR200W	0	0	0
YOR305W	1047	1356	1130
YOR195W	2974	4024	3054
YOL123W	8704	11100	9638
YOR097C	382	596	467
YOL083C-A	0	0	0
YOL086W-A	240	472	329
YOR337W	1468	2687	2154
YOL100W	1535	2132	1668
YOR289W	349	546	411
YOR255W	2	3	9
YOR304W	4438	6352	4984
YOL163W	32	62	39
YOR077W	326	518	332
YOR074C	984	1543	1204
YOR117W	7968	11650	8951
YOR055W	7	15	10
YOL166W-A	0	0	1
YOL066C	1419	1961	1565
YOR396W	0	3	9
YOR161C-C	20	31	32
tV(AAC)O	24	35	29
YOR151C	21330	30619	23242
YOR187W	9514	14595	9766
YOL001W	587	926	710
YOR005C	910	1264	948
YOR199W	131	255	209
YOR355W	9796	12238	10124
YOR290C	7938	11214	9152
YOR396C-A	0	0	0
YOR047C	3066	4217	3393
YOL014W	1532	2051	1967
YOR244W	1510	2031	1662
YOL102C	949	1306	1087
YOL060C	2614	4003	2948
YOL041C	5478	8242	6371
YOL116W	1144	1681	1366
YOR353C	1442	2172	1666
YOR299W	2718	4024	3050
YOR366W	1	2	0
tD(GUC)O	48	48	53
YOR096W	55814	77640	67167
YOR148C	368	615	482
YOR301W	1663	2565	2038
YOR257W	416	609	551
YOR135C	3	13	12
YOR032W-A	15	26	16
YOR223W	400	659	455
YOR076C	1574	2106	1725
YOR231C-A	0	0	0
YOR316C-A	50	101	65
tS(GCU)O	7	16	14
YOR061W	3417	5209	4138
YOR025W	1277	1932	1531
YOR371C	2637	3861	3043
YOL140W	1253	1877	1458
YOL062C	2604	3924	2977
YOR292C	509	636	488
tG(UCC)O	1	1	0
YOR027W	27828	38857	26039
tT(AGU)O2	1	2	4
YOR142W-B	53	76	35
YOR192C-A	0	0	0
YOL103W-B	446	618	353
YOR142W-A	0	0	0
YOR192C-B	2088	3054	2084
YOR343W-B	1061	1559	1113
YOR343W-A	0	0	0
YOL103W-A	0	0	0
YGL087C	1243	1623	1401
YGL156W	1187	1735	1252
YGL015C	60	72	65
RME2	2	3	4
YGR251W	707	1088	834
YGR162W	35317	50032	38152
tK(UUU)G2	5	10	6
YGR005C	2235	3269	2485
YGL160W	1897	2587	2028
snR46	2911	4707	6646
tD(GUC)G1	16	11	23
YGL211W	1262	2047	1605
YGR141W	402	878	682
YGL239C	8	15	14
YGL097W	4889	7080	5620
YGR030C	656	765	722
YGR224W	560	847	640
YGR142W	4602	5544	3352
YGR186W	5218	7546	5922
YGR181W	746	1009	836
YGL081W	84	147	101
YGR082W	2879	4330	3349
YGL028C	8178	11574	9600
YGL021W	2321	3332	2949
YGL110C	1445	2190	1771
YGR167W	3705	5802	4455
YGL017W	1015	1452	1119
tA(UGC)G	1	0	0
YGR156W	1005	1397	1082
YGR291C	3	2	8
YGR197C	723	1043	761
YGR041W	2397	3199	2574
YGL079W	784	1231	857
YGL107C	2018	3083	2301
YGL168W	280	355	310
YGL228W	5386	7963	6054
YGR183C	872	1155	1014
YGL050W	766	1093	953
YGR273C	12	5	19
YGR086C	17588	24704	20110
YGR228W	17	25	23
YGL145W	1870	2604	2115
YGR098C	4038	5745	4482
YGR074W	39	73	59
YGL098W	803	1060	784
snR7-S	0	0	0
YGL096W	375	445	389
YGR240C-A	180	228	200
YGR172C	2070	3055	2333
YGR194C	906	1340	985
YGL026C	18147	25976	20865
YGL213C	1369	1932	1682
YGL248W	1355	1938	1537
YGL075C	449	743	549
YGL256W	2097	3215	2421
YGL012W	13756	20260	14840
YGL082W	2111	3114	2361
YGR161C	738	1164	938
tW(CCA)G1	21	35	36
YGR274C	3023	4273	3429
YGR031C-A	0	0	0
YGL037C	5205	7574	5841
YGL252C	2706	4186	3506
YGL250W	188	308	253
YGR260W	4723	7363	5363
YGR159C	8224	11550	9339
YGR006W	403	574	431
YGL121C	147	196	132
YGL040C	3748	5530	4176
YGR130C	5619	8128	6177
YGR021W	712	1077	838
YGR097W	3436	5058	3877
YGL170C	93	151	130
YGL166W	218	242	210
YGL104C	441	753	525
YGR149W	860	1292	953
YGR195W	2061	2872	2281
tG(GCC)G2	6	6	8
YGR250C	7745	9324	7749
YGL155W	2000	2982	2267
YGL216W	1747	2508	2086
YGR029W	1054	1482	1178
YGL125W	2016	2787	2265
YGR038W	1352	2048	1621
YGR008C	1430	2096	1660
YGR248W	412	597	439
YGL094C	5428	7525	5612
YGR131W	95	143	122
YGR163W	1171	1869	1479
YGR125W	3772	5234	4102
YGR279C	27729	40094	36034
YGL022W	16242	24561	19180
tD(GUC)G2	14	6	17
YGR271W	6074	8508	6364
YGL025C	688	973	824
YGL176C	1364	1888	1535
YGR031W	485	674	580
YGL102C	52	103	61
YGR182C	579	887	722
YGR025W	54	77	56
YGL113W	1359	1990	1489
YGR188C	670	1110	871
YGL162W	917	1188	1201
YGL084C	2956	4464	3566
snR10	13	23	15
YGL196W	2757	3617	3014
RME3	0	0	0
YGR230W	239	314	346
YGR084C	1368	2044	1644
YGL222C	803	1075	869
YGR166W	1710	2581	1998
YGR122C-A	82	107	96
YGR152C	711	1029	839
YGL210W	972	1398	1182
YGR265W	56	84	51
YGR157W	20632	32841	21926
YGL240W	378	504	446
YGR085C	18968	27450	25087
YGR237C	2317	3290	2432
YGL146C	150	237	243
YGL153W	285	368	300
YGR075C	453	654	580
tT(UGU)G2	23	39	43
YGL169W	1701	2581	1989
YGR187C	2389	3570	2839
YGL167C	12262	16758	13453
YGR050C	95	135	139
YGR035W-A	231	371	223
YGR217W	4541	6499	4936
YGR068C	821	1011	800
YGR296W	2	4	1
YGR177C	1708	2472	2267
YGL068W	492	616	469
tN(GUU)G	5	10	9
YGL018C	453	671	552
YGL188C	335	632	515
YGR126W	548	809	687
YGL065C	2231	2999	2472
YGL014W	6337	9205	7992
YGL100W	3042	4501	3480
YGR288W	390	598	450
YGL174W	509	733	631
YGR211W	10113	14359	10279
YGL204C	336	438	373
YGR270W	7619	11457	8412
YGR204W	23237	37191	23766
YGR266W	2732	3759	2960
YGL070C	1090	1351	1195
YGL225W	8515	12653	10868
YGL120C	11182	16044	12515
tE(UUC)G1	28	52	70
YGR252W	1468	2185	1641
YGL106W	3953	5540	4777
YGR284C	4561	6685	5198
YGR032W	4582	7498	5432
YGR174C	322	615	433
YGR208W	2754	3686	2854
YGL016W	8788	11163	8734
YGR255C	1975	3004	2279
YGR146C-A	32	50	70
YGL194C	1351	1908	1438
YGL138C	5	4	3
YGR091W	1054	1568	1229
YGR200C	7550	11052	7996
YGR191W	4164	6613	5168
YGR270C-A	0	0	0
YGL227W	1947	2716	1897
YGR081C	1673	2303	1805
YGL243W	862	1220	968
YGL194C-A	279	352	301
YGR148C	25540	40204	35571
YGL136C	1487	2038	1666
YGR276C	2301	3467	2743
YGL129C	2041	2890	2061
tR(UCU)G2	0	0	0
YGR053C	88	188	134
YGR069W	28	29	32
YGL224C	1193	1687	1450
YGL193C	0	0	0
YGL020C	1429	2383	2100
YGL177W	121	184	154
YGL189C	51700	66856	62872
YGR122W	1176	1647	1241
YGL003C	1161	1884	1517
YGR210C	3405	5400	4041
tG(GCC)G1	11	28	32
YGR079W	1160	2085	1738
YGL115W	3168	4663	3486
YGL105W	22509	31380	25825
YGR026W	3450	5577	4375
YGR087C	51	65	85
YGR278W	924	1240	998
YGR042W	741	1035	684
YGR043C	166	280	167
YGL165C	25	29	20
YGR110W	393	569	396
YGR089W	3154	4632	3681
YGL158W	95	142	114
YGR262C	1127	1687	1330
YGL200C	6931	9515	7871
YGL117W	346	405	335
YGL186C	2118	3205	2334
YGR010W	855	1209	954
YGR198W	4784	7248	5278
YGR137W	570	671	586
YGL058W	1986	2596	2025
YGL226W	241	325	309
YGL055W	35306	49074	37307
YGL184C	178	330	210
YGL024W	7	11	10
tV(AAC)G3	10	12	18
YGL151W	4227	5928	4656
YGR101W	1072	1576	1168
YGL230C	40	65	76
YGR103W	16884	24686	18212
YGR096W	321	463	378
YGR112W	709	1009	746
tI(AAU)G	18	21	32
YGL013C	4497	6589	5152
YGL076C	72924	94277	80508
YGR067C	215	301	215
YGR094W	62936	86515	67183
YGL226C-A	1315	2148	1984
YGR045C	12	19	16
YGR175C	15836	24033	21265
YGL008C	446555	626626	482379
YGR115C	0	0	0
YGR108W	2078	3104	3062
YGR218W	17961	24372	18493
YGR205W	653	1041	797
YGL073W	2266	3258	2371
YGL009C	42220	60810	46041
YGL095C	1738	2490	1875
YGL137W	23014	32678	25146
YGL214W	3	10	6
YGR105W	1212	1682	1468
YGR001C	2295	3693	2901
tK(UUU)G1	13	22	32
YGL217C	40	37	31
YGL173C	33856	49730	36607
YGL086W	2760	3609	2879
YGR223C	1048	1523	1180
tS(AGA)G	17	17	19
YGR077C	1668	2420	2064
YGL052W	101	145	122
YGR285C	27694	41123	33139
YGL080W	1031	1574	1220
YGL207W	13284	20325	15440
YGR261C	7073	9378	7271
YGR226C	0	0	0
YGL140C	6501	9796	7319
YGL078C	9275	13536	10521
YGL199C	0	1	0
YGR164W	10	18	18
YGR150C	2147	3128	2196
YGL006W-A	116	197	147
YGR196C	1660	2292	1668
YGL197W	6125	9035	6924
YGR136W	1774	2502	2050
YGR153W	165	267	207
YGL159W	1137	1556	1207
YGR286C	2398	3570	2239
YGL254W	609	877	731
tH(GUG)G1	5	9	15
YGR023W	313	408	358
snR48	63	140	163
YGL063W	422	548	493
YGL154C	428	688	522
YGL035C	1955	3226	2627
YGR009C	2234	3593	2684
YGR034W	38759	47992	44033
YGL064C	987	1467	1091
YGR118W	34520	44909	39505
YGR277C	1387	1887	1456
YGR232W	1350	1983	1616
YGR227W	1816	2519	1943
YGL142C	1888	2954	2254
YGL143C	979	1460	1039
YGR222W	559	829	665
YGL045W	968	1382	976
YGL253W	70328	106980	78069
YGR257C	1761	2786	2010
YGL131C	2815	3930	2800
YGR064W	5	7	7
YGR263C	658	992	719
YGL049C	6486	8854	7230
YGR296C-B	0	0	0
YGL202W	16940	26193	21207
YGL258W-A	9	14	11
YGR133W	443	632	473
YGR109C	309	421	376
YGR037C	8448	11528	10466
YGL077C	6461	9167	7252
YGR111W	1557	2319	1849
YGR016W	205	299	223
YGR245C	8324	11557	8892
YGR287C	316	428	417
YGL244W	1874	2865	2321
YGL057C	658	956	769
YGL187C	2867	3577	3361
YGR180C	15502	22641	18804
YGR116W	17343	24088	18727
YGL181W	1764	2339	1870
YGR202C	1899	2781	2104
YGL127C	494	827	724
YGR203W	427	573	515
YGL150C	7810	11870	8769
YGR134W	2086	3221	2657
YGR095C	1436	2049	1622
YGR214W	50273	73862	61257
YGR269W	135	193	173
YGR176W	55	74	86
YGL263W	21	26	33
YGR057C	817	1284	983
YGL074C	33	51	41
YGR007W	2591	3817	3075
YGR241C	2006	2634	2111
YGR127W	873	1279	1035
YGL219C	971	1395	1074
YGL061C	715	961	855
YGR083C	6986	10132	7826
YGL038C	3424	4439	3633
YGL047W	564	779	633
YGR244C	3582	5894	4020
YGR289C	269	403	262
YGL089C	121	172	110
YGL180W	1464	2258	1501
YGR146C	2446	3001	2464
YGL149W	108	110	117
YGL242C	1085	1587	1341
YGR106C	10446	13677	11290
YGR004W	1117	1538	1229
YGR209C	7044	10915	8684
YGR052W	585	577	524
YGR158C	1760	2658	2062
YGR003W	1727	2461	1960
YGR219W	6	23	16
YGL247W	405	618	479
YGR170W	3787	5269	4222
YGR246C	1691	2375	1889
YGL183C	36	49	36
YGR160W	11	13	14
YGR204C-A	10	14	6
YGR039W	65	139	108
YGL059W	643	845	686
YGL123W	68522	95602	80162
YGL099W	6199	9036	7208
YGR102C	646	914	716
YGL233W	3818	5593	4224
YGL072C	4	5	3
YGL056C	2822	4012	3304
YGR104C	735	981	803
YGR240C	77461	115114	85737
YGR243W	68	136	101
YGR275W	919	1323	1074
YGL088W	1	0	4
YGR020C	4663	6026	5389
YGR100W	2944	4275	3136
YGR231C	3601	5649	4043
YGR215W	552	870	691
YGR018C	19	12	14
YGL152C	0	0	0
YGL212W	462	635	511
YGL066W	1344	1874	1565
YGL060W	1852	2579	1917
YGL185C	696	1073	835
YGR145W	4713	7337	5429
YGL011C	5994	7868	6482
YGR147C	2110	3096	2161
YGR036C	664	1020	748
YGL122C	5229	7019	5547
YGL261C	4	3	7
YGL041C	0	0	0
YGR099W	1292	1890	1471
YGR046W	1131	1805	1356
YGL188C-A	150	168	172
YGR216C	1463	2173	1642
tG(UCC)G	5	2	7
YGR047C	2322	3635	2757
YGR238C	1020	1501	1161
YGR282C	26888	39471	31609
YGL132W	7	13	10
tA(AGC)G	0	4	0
YGR169C	678	1012	775
YGR063C	110	152	127
YGR256W	249	437	295
YGL036W	2737	3955	2946
YGR192C	827499	1161348	895680
YGL191W	2320	2955	2606
YGR051C	65	81	101
YGR013W	1500	2128	1647
YGR123C	5220	8061	5902
YGL209W	1757	2842	2640
YGL163C	1352	2003	1580
YGR296C-A	0	0	0
YGL178W	4001	5674	4490
YGL092W	11155	15798	12272
YGR132C	4164	6271	4665
YGL208W	733	1173	746
tL(GAG)G	5	8	6
YGR059W	41	39	51
YGR114C	0	1	0
YGR128C	7529	10209	7845
YGL246C	1677	2522	1914
YGL190C	3130	4550	3573
YGR033C	2163	3030	2351
YGL112C	3416	4656	3737
YGL001C	3222	4867	3963
YGR168C	570	871	686
YGL093W	2117	3028	2353
YGR120C	904	1295	1104
YGR027C	40129	48869	47479
YGL259W	36	36	32
YGR294W	8	15	8
YGR124W	38241	52683	41270
YGL103W	413	644	575
YGL062W	23383	36091	10592
YGR049W	592	939	883
snR39	334	474	440
YGR076C	627	977	756
YGL161C	1838	2746	2223
YGR062C	719	1036	780
tV(AAC)G1	27	22	33
YGL237C	564	824	660
YGR024C	1493	1912	1682
YGR184C	12945	19249	14055
YGR292W	83	118	100
YGR151C	0	0	0
YGL034C	22	41	30
YGL067W	2361	3218	2416
YGR072W	660	1027	792
YGL229C	845	1219	848
YGR055W	6513	10825	6879
YGL044C	847	1398	966
YGL054C	3542	5251	4340
YGL119W	1228	1769	1428
YGR068W-A	0	0	0
YGR206W	337	505	414
YGR121W-A	34	43	44
YGL130W	1901	2658	2260
YGL042C	342	436	372
YGR090W	13927	20419	16283
YGR221C	1013	1516	1186
YGR143W	2660	3693	2985
