	SRR6357070_ReadsPerGene.out.tab	SRR6357071_ReadsPerGene.out.tab	SRR6357072_ReadsPerGene.out.tab
tY(GUA)D	19	14	14
YDL115C	661	960	770
YDL145C	34670	48028	36935
YDR203W	1	2	0
YDL104C	372	515	421
YDL149W	1008	1386	905
YDR231C	232	372	284
YDR045C	991	1518	1185
YDL075W	28989	40720	38870
YDR415C	997	1500	1132
YDR339C	1845	2727	2343
YDL213C	1863	2630	2191
YDR096W	2310	2996	2299
YDL019C	4855	7086	5308
YDL022W	6238	8461	7251
YDR413C	14	14	11
YDR391C	869	1232	1074
YDR091C	12727	19026	14918
YDR240C	951	1436	1064
YDL244W	61	86	66
YDR179C	289	362	342
YDL165W	1201	1827	1473
YDL140C	29392	41730	35305
YDR120C	5015	7363	5455
YDR003W	577	951	690
YDR499W	1078	1538	1225
YDR166C	3049	4306	3433
YDL092W	1752	2245	1872
YDL041W	0	1	1
YDL241W	541	680	675
YDL082W	30131	44043	37677
YDR277C	1054	1428	1052
YDR291W	2652	3695	2924
YDR475C	2308	3336	2554
YDR244W	1431	2140	1631
YDR407C	4668	6654	4859
YDR382W	41304	54081	51693
YDR102C	50	89	65
YDL188C	3101	4457	3624
YDR405W	818	1211	990
YDR443C	2584	3567	2812
YDR059C	439	656	554
YDR144C	5344	7615	5954
YDL157C	1156	1786	1351
YDL058W	10089	14719	11117
YDL096C	2	1	0
YDL155W	2156	3110	2441
YDR147W	1166	1676	1293
YDL191W	19820	28150	24802
YDL128W	5185	7419	5737
YDR310C	4680	6654	5367
YDL160C-A	320	449	426
YDR127W	19053	27909	21280
YDR497C	12215	18921	14375
YDL162C	9	11	4
tS(AGA)D3	6	2	5
YDR201W	467	692	623
YDR163W	368	596	505
YDL146W	1163	1543	1202
YDR363W-A	1581	2292	1839
YDL221W	104	155	122
YDL089W	1036	1551	1187
YDR385W	90913	124130	99032
YDR331W	2478	3356	2771
YDR196C	991	1371	1113
YDR116C	1149	1632	1203
YDR001C	4415	6762	5111
YDL230W	673	882	754
YDR160W	1177	1884	1407
YDR123C	935	1395	1119
YDR322W	1440	2227	1673
YDR040C	626	1036	824
YDR025W	36885	49152	44910
YDR046C	6589	9851	7045
YDL057W	365	483	376
YDL248W	582	777	668
YDR008C	13	14	9
YDR029W	742	1157	936
YDR485C	1707	2519	1894
YDR408C	1887	2863	2200
YDR038C	590	866	644
YDL204W	432	696	453
YDR019C	1225	1612	1307
