	SRA6357070_rsem.genes.results	SRA6357071_rsem.genes.results	SRA6357072_rsem.genes.results
YDL159W-A	0	0	0
YDL160C	8356	10949	9155
YDL160C-A	132	192	183
YDL161W	1790	2464	2071
YDL162C	1	3	0
YDL163W	0	0	0
YDL164C	2032	3218	2502
YDL165W	765	1177	980
YDL166C	697	1037	869
YDL167C	4017	5570	4627
YDL168W	2006	3348	2488
YDL169C	71	134	71
YDL170W	623	963	678
YDL171C	33145	49370	36640
YDL172C	7	10	7
YDL173W	1991	3111	2586
YDL174C	2290	3625	2763
YDL175C	550	791	591
YDL176W	789	1175	921
YDL177C	204	287	227
YDL178W	2486	3522	2556
YDL179W	902	1203	1019
YDL180W	906	1195	1080
YDL181W	228	276	266
YDL182W	5089	6648	4695
YDL183C	182	261	209
YDL184C	0	0	0
YDL185C-A	0	1	0
YDL185W	67223	103830	77356
YDL186W	2	4	4
YDL187C	12	20	28
YDL188C	2311	3361	2690
YDL189W	1652	2639	1916
YDL190C	4410	6275	5061
YDL191W	18263	28039	24071
YDL192W	10733	15079	12643
YDL193W	1348	2111	1486
YDL194W	513	822	644
YDL195W	15184	22762	18952
YDL196W	4	9	6
YDL197C	878	1338	998
YDL198C	862	1620	1305
YDL199C	322	508	359
YDL200C	264	320	270
YDL201W	2151	3188	2499
YDL202W	630	993	743
YDL203C	1219	1856	1493
YDL204W	322	507	322
YDL205C	1759	2757	2176
YDL206W	736	1040	729
YDL207W	1460	2186	1830
YDL208W	3476	5297	4392
YDL209C	485	659	501
YDL210W	86	105	82
YDL211C	189	297	257
YDL212W	2986	4470	3672
YDL213C	1328	1812	1551
YDL214C	167	227	184
YDL215C	3268	4585	3094
YDL216C	304	520	401
YDL217C	412	653	500
YDL218W	61	70	54
YDL219W	507	704	571
YDL220C	909	1303	1097
YDL221W	7	17	12
YDL222C	54	111	72
YDL223C	834	1257	869
YDL224C	2203	3363	2587
YDL225W	2789	3934	3085
YDL226C	3699	5286	4299
YDL227C	2651	4175	3005
YDL228C	3	21	14
YDL229W	168508	245176	200243
YDL230W	512	654	581
YDL231C	2989	4672	3400
YDL232W	0	4	4
YDL233W	735	1068	900
YDL234C	3367	4519	3659
YDL235C	890	1317	1125
YDL236W	2909	4052	3447
YDL237W	2503	3796	2911
YDL238C	584	839	616
YDL239C	463	709	577
YDL240C-A	0	0	0
YDL240W	1898	2837	2336
YDL241W	276	336	320
YDL242W	1	0	0
YDL243C	148	247	165
YDL244W	34	56	47
YDL245C	1	1	4
YDL246C	59	109	82
YDL247W	0	0	0
YDL247W-A	0	0	0
YDL248W	761	1021	858
YDR001C	3523	5520	4156
YDR002W	7792	12171	9665
YDR003W	436	740	512
YDR003W-A	1	0	0
YDR004W	553	925	680
YDR005C	1164	1686	1378
YDR006C	3935	6130	4973
YDR007W	747	1249	938
YDR008C	5	6	5
YDR009W	118	192	168
YDR010C	3	4	3
YDR011W	10727	16895	16608
YDR012W	32309	49895	41108
YDR013W	430	587	461
YDR014W	738	988	798
YDR014W-A	14	12	9
YDR015C	0	1	0
YDR016C	201	275	265
YDR017C	4205	6239	4838
YDR018C	45	78	58
YDR019C	970	1234	976
YDR020C	381	525	438
YDR021W	889	1250	1001
YDR022C	209	278	230
YDR023W	26178	37993	29153
YDR024W	2	4	2
YDR025W	25505	35100	31750
YDR026C	1365	1885	1367
YDR027C	2094	2969	2142
YDR028C	7191	9791	7185
YDR029W	0	0	0
YDR030C	252	393	312
YDR031W	203	223	205
YDR032C	1749	2857	2115
YDR033W	29592	41430	36872
YDR034C	1847	2630	2047
YDR034C-A	0	1	2
YDR034C-C	895	1190	959
YDR034C-D	6596	10654	6863
YDR034W-B	5	2	3
YDR035W	4482	6386	5134
YDR036C	1840	2774	2054
YDR037W	38022	55291	42595
YDR038C	3798	5743	4474
YDR039C	5727	7693	5653
YDR040C	5327	8510	6628
YDR041W	653	1005	692
YDR042C	55	68	67
YDR043C	372	479	368
YDR044W	2148	2862	3292
YDR045C	266	471	329
YDR046C	5199	8084	5674
YDR047W	1873	2978	2579
YDR048C	1	1	2
YDR049W	1416	2270	1781
YDR050C	76498	129219	100308
YDR051C	987	1387	1146
YDR052C	2065	2944	2111
YDR053W	0	0	0
YDR054C	1912	2743	2221
YDR055W	4280	5704	4788
YDR056C	1308	1822	1433
YDR057W	1001	1372	1050
YDR058C	202	383	280
YDR059C	201	277	255
YDR060W	13865	20413	15689
YDR061W	1553	2186	1674
YDR062W	7655	11549	8786
YDR063W	462	850	760
YDR064W	29705	42444	38157
YDR065W	596	824	678
YDR066C	163	195	179
YDR067C	437	674	505
YDR068W	984	1329	957
YDR069C	1265	1521	1218
YDR070C	42	83	73
YDR071C	2525	3565	2927
YDR072C	3243	4982	4258
YDR073W	473	621	554
YDR074W	6214	7803	6130
YDR075W	660	1049	773
YDR076W	173	260	208
YDR077W	23050	34964	34893
YDR078C	170	244	166
YDR079C-A	68	77	90
YDR079W	166	279	218
YDR080W	1672	2295	1744
YDR081C	2312	3424	2610
YDR082W	511	725	576
YDR083W	1932	3171	2334
YDR084C	673	920	803
YDR085C	554	731	541
YDR086C	807	1019	894
YDR087C	1900	2686	2142
YDR088C	615	944	769
YDR089W	1852	2647	2007
YDR090C	468	832	599
YDR091C	10251	14952	11740
YDR092W	915	1425	1196
YDR093W	8406	13041	9736
YDR094W	282	290	330
YDR095C	0	0	0
YDR096W	1971	2538	1928
YDR097C	4419	6336	4677
YDR098C	2017	3031	2351
YDR098C-A	0	0	0
YDR098C-B	4464	7322	4284
YDR099W	8934	13079	10522
YDR100W	467	826	629
YDR101C	7780	11161	8684
YDR102C	8	13	10
YDR103W	2617	3816	3122
YDR104C	1282	1736	1400
YDR105C	1287	1996	1464
YDR106W	50	91	72
YDR107C	1301	1876	1433
YDR108W	1087	1618	1287
YDR109C	793	1248	833
YDR110W	1229	1765	1412
YDR111C	1215	1728	1675
YDR112W	0	0	0
YDR113C	677	893	751
YDR114C	4	4	0
YDR115W	235	467	364
YDR116C	816	1202	873
YDR117C	2011	2780	2247
YDR118W	573	958	707
YDR118W-A	0	0	1
YDR119W	6584	9028	7180
YDR119W-A	5	16	13
YDR120C	4081	6061	4470
YDR121W	549	774	607
YDR122W	3994	5681	4437
YDR123C	655	996	798
YDR124W	106	158	114
YDR125C	241	404	268
YDR126W	200	294	223
YDR127W	16921	25029	18984
YDR128W	3049	4638	3561
YDR129C	12168	17890	14329
YDR130C	539	771	595
YDR131C	483	686	573
YDR132C	397	696	496
YDR133C	1370	2391	2284
YDR135C	15151	21016	15132
YDR136C	8	16	13
YDR137W	1479	2059	1562
YDR138W	1654	2724	2033
YDR139C	440	476	447
YDR140W	679	903	680
YDR141C	6078	9222	7292
YDR142C	671	1006	770
YDR143C	2006	3117	2341
YDR144C	4179	5936	4617
YDR145W	2551	3836	2959
YDR146C	2123	2992	2526
YDR147W	952	1403	1053
YDR148C	3636	5051	3869
YDR149C	0	1	0
YDR150W	15785	22794	18174
YDR151C	1196	1665	1273
YDR152W	2295	3132	2368
YDR153C	1828	2666	2184
YDR154C	15810	20252	17218
YDR155C	20126	30398	24724
YDR156W	819	811	965
YDR157W	14	23	31
YDR158W	5147	9694	8060
YDR159W	3160	4473	3542
YDR160W	966	1568	1164
YDR161W	2756	4146	3208
YDR162C	368	521	402
YDR163W	214	359	304
YDR164C	2433	3311	2535
YDR165W	4351	6056	4680
YDR166C	2581	3767	2925
YDR167W	715	996	853
YDR168W	4068	5441	4167
YDR169C	1259	1928	1519
YDR169C-A	0	0	0
YDR170C	23974	35424	28601
YDR170W-A	246	409	297
YDR171W	2880	3659	2536
YDR172W	18947	26247	21035
YDR173C	341	555	415
YDR174W	4529	6713	5500
YDR175C	821	1416	937
YDR176W	1938	2766	2107
YDR177W	1413	2012	1614
YDR178W	537	813	640
YDR179C	191	222	212
YDR179W-A	499	842	652
YDR180W	3012	4340	3352
YDR181C	850	1172	828
YDR182W	2476	3489	2637
YDR182W-A	4	5	4
YDR183C-A	180	221	172
YDR183W	318	477	341
YDR184C	1392	2095	1676
YDR185C	124	207	168
YDR186C	3845	5745	4360
YDR187C	0	2	1
YDR188W	9256	14254	11391
YDR189W	4012	5609	4554
YDR190C	4594	6460	5192
YDR191W	212	325	255
YDR192C	702	1063	840
YDR193W	0	2	0
YDR194C	6885	11077	7440
YDR194W-A	0	0	0
YDR195W	646	963	799
YDR196C	820	1137	900
YDR197W	719	1089	780
YDR198C	874	1252	967
YDR199W	0	4	2
YDR200C	1202	1758	1427
YDR201W	311	503	453
YDR202C	868	1291	1008
YDR203W	1	4	1
YDR204W	976	1514	1032
YDR205W	1329	1860	1647
YDR206W	3407	5069	3736
YDR207C	1284	2060	1632
YDR208W	3666	5223	4347
YDR209C	1	0	1
YDR210C-C	0	0	0
YDR210C-D	4867	8381	4584
YDR210W	483	713	610
YDR210W-A	0	0	0
YDR210W-B	2315	3336	2223
YDR211W	7413	10202	7469
YDR212W	11862	17043	12822
YDR213W	1874	2561	2218
YDR214W	4133	6475	4550
YDR215C	0	1	3
YDR216W	2619	3720	2494
YDR217C	3531	5179	3805
YDR218C	12	15	22
YDR219C	1013	1478	1093
YDR220C	0	0	0
YDR221W	2505	3558	2762
YDR222W	2166	2240	2042
YDR223W	83	86	74
YDR224C	9278	13916	11692
YDR225W	8859	11121	9586
YDR226W	14910	21261	16700
YDR227W	2666	3735	3127
YDR228C	1342	1787	1415
YDR229W	832	1291	1038
YDR230W	2	1	0
YDR231C	363	569	451
YDR232W	7291	9565	8198
YDR233C	10312	15737	12430
YDR234W	4107	5935	4786
YDR235W	1419	1855	1476
YDR236C	447	648	491
YDR237W	987	1609	1112
YDR238C	20060	27135	21247
YDR239C	1432	2045	1524
YDR240C	808	1166	866
YDR241W	0	2	1
YDR242W	392	534	412
YDR243C	1048	1563	1263
YDR244W	1189	1798	1387
YDR245W	3152	4927	3695
YDR246W	498	674	595
YDR246W-A	2	5	1
YDR247W	1909	2492	2086
YDR248C	416	585	422
YDR249C	468	780	549
YDR250C	0	1	0
YDR251W	4163	6003	4512
YDR252W	137	176	148
YDR253C	52	81	36
YDR254W	393	581	427
YDR255C	624	823	614
YDR256C	107	181	128
YDR257C	1506	2359	1782
YDR258C	2962	3947	2518
YDR259C	271	321	263
YDR260C	229	359	304
YDR261C	2707	4106	3210
YDR261C-C	0	0	0
YDR261C-D	30973	56504	33440
YDR261W-A	0	0	0
YDR261W-B	6672	12004	5734
YDR262W	1296	2150	1411
YDR263C	348	469	389
YDR264C	6673	9695	7703
YDR265W	481	679	498
YDR266C	3183	4395	3680
YDR267C	772	1189	958
YDR268W	593	737	538
YDR269C	0	1	1
YDR270W	1562	1980	1642
YDR271C	0	3	2
YDR272W	1156	1517	1296
YDR273W	91	155	133
YDR274C	0	2	0
YDR275W	383	640	471
YDR276C	468	647	604
YDR277C	514	720	536
YDR278C	2	0	0
YDR279W	836	1294	1037
YDR280W	1242	2014	1606
YDR281C	221	338	335
YDR282C	473	736	555
YDR283C	4333	6557	4886
YDR284C	1153	1755	1364
YDR285W	431	559	453
YDR286C	144	196	154
YDR287W	456	732	581
YDR288W	592	848	591
YDR289C	866	1193	917
YDR290W	0	0	0
YDR291W	2338	3320	2590
YDR292C	3812	5816	4500
YDR293C	11514	15869	12981
YDR294C	4846	6644	5353
YDR295C	1392	2003	1488
YDR296W	713	1228	878
YDR297W	3252	4412	4541
YDR298C	2908	3836	3148
YDR299W	2214	3472	2828
YDR300C	3240	4429	3349
YDR301W	4004	5716	4433
YDR302W	666	927	752
YDR303C	4343	6102	4870
YDR304C	3758	5276	4296
YDR305C	483	613	501
YDR306C	855	1340	946
YDR307W	1477	2230	1680
YDR308C	391	544	445
YDR309C	1956	2655	2429
YDR310C	3868	5605	4460
YDR311W	1812	2484	1887
YDR312W	1403	2186	1572
YDR313C	477	772	584
YDR314C	880	1203	921
YDR315C	189	302	229
YDR316W	594	1028	680
YDR316W-A	0	0	0
YDR316W-B	1053	0	224
YDR317W	121	185	122
YDR318W	454	604	464
YDR319C	512	765	636
YDR320C	1589	2242	1927
YDR320C-A	205	258	263
YDR320W-B	0	1	1
YDR321W	7229	9870	8028
YDR322C-A	419	547	495
YDR322W	1177	1858	1384
YDR323C	362	484	402
YDR324C	5266	7762	6100
YDR325W	2380	3513	2626
YDR326C	7250	10530	8236
YDR327W	2	4	4
YDR328C	1772	2772	2274
YDR329C	1448	2083	1556
YDR330W	1160	1631	1209
YDR331W	1988	2618	2192
YDR332W	850	1296	849
YDR333C	2750	3934	3032
YDR334W	4147	6754	5072
YDR335W	4508	7125	5350
YDR336W	550	742	631
YDR337W	878	1450	1087
YDR338C	1001	1489	1112
YDR339C	1224	1836	1595
YDR340W	0	1	0
YDR341C	15905	21918	17208
YDR342C	4512	6076	3920
YDR343C	731	891	784
YDR344C	53	77	55
YDR345C	22495	36026	32042
YDR346C	6100	9751	7219
YDR347W	1681	2546	1820
YDR348C	2020	3091	2452
YDR349C	2831	4459	3323
YDR350C	1163	1783	1272
YDR351W	2236	3156	2481
YDR352W	969	1389	1108
YDR353W	10350	15615	11805
YDR354C-A	0	0	0
YDR354W	1724	2620	2040
YDR355C	0	0	0
YDR356W	2134	3160	2459
YDR357C	177	299	256
YDR358W	1004	1358	984
YDR359C	2466	3666	2639
YDR360W	3	2	2
YDR361C	2098	2758	2180
YDR362C	1036	1593	1244
YDR363W	595	926	754
YDR363W-A	652	961	759
YDR364C	936	1438	1093
YDR365C	6828	10325	7241
YDR365W-A	0	0	0
YDR365W-B	172645	274098	166513
YDR366C	67	84	72
YDR367W	880	1256	1063
YDR368W	2183	3020	2592
YDR369C	768	1081	781
YDR370C	836	1203	926
YDR371C-A	0	0	0
YDR371W	603	998	683
YDR372C	3126	4394	3520
YDR373W	930	1411	1088
YDR374C	3	8	6
YDR374W-A	89	203	140
YDR375C	871	1354	1002
YDR376W	1341	2046	1385
YDR377W	665	1092	831
YDR378C	606	1075	799
YDR379C-A	45	85	65
YDR379W	1429	2150	1669
YDR380W	2431	3143	2132
YDR381C-A	138	186	141
YDR381W	6263	8679	7051
YDR382W	17638	23668	22441
YDR383C	289	459	322
YDR384C	1234	2009	1448
YDR385W	257442	361950	285598
YDR386W	512	790	575
YDR387C	823	1242	981
YDR388W	5456	6453	6141
YDR389W	2465	3655	2919
YDR390C	2047	2878	2417
YDR391C	636	919	790
YDR392W	607	1024	708
YDR393W	963	1312	933
YDR394W	5588	8099	6276
YDR395W	11516	16086	12527
YDR396W	1	1	0
YDR397C	803	1301	968
YDR398W	4320	6895	5334
YDR399W	4368	6857	4692
YDR400W	1355	2053	1476
YDR401W	11	25	27
YDR402C	22	31	24
YDR403W	44	95	61
YDR404C	946	1389	1156
YDR405W	526	813	649
YDR406W	1382	2395	1633
YDR406W-A	0	0	0
YDR407C	4181	6003	4373
YDR408C	1132	1720	1290
YDR409W	1266	1695	1378
YDR410C	604	943	764
YDR411C	1078	1504	1198
YDR412W	1001	1641	1289
YDR413C	1	2	2
YDR414C	799	1078	820
YDR415C	711	1097	805
YDR416W	1735	2423	1883
YDR417C	0	9	7
YDR418W	29949	38761	34489
YDR419W	730	1152	892
YDR420W	3477	5479	4649
YDR421W	1226	1786	1300
YDR422C	2576	3666	2801
YDR423C	1184	1592	1295
YDR424C	261	451	335
YDR425W	774	1056	829
YDR426C	10	9	12
YDR427W	5179	7118	5544
YDR428C	871	1074	833
YDR429C	9129	11536	9452
YDR430C	2998	4831	3379
YDR431W	0	0	0
YDR432W	14663	19683	15972
YDR433W	642	598	558
YDR434W	2807	4044	2969
YDR435C	677	1027	789
YDR436W	940	1276	1044
YDR437W	61	117	89
YDR438W	288	407	339
YDR439W	100	274	204
YDR440W	1185	1785	1378
YDR441C	573	910	783
YDR442W	2	0	1
YDR443C	2556	3578	2830
YDR444W	1127	1766	1342
YDR445C	0	0	1
YDR446W	6	7	12
YDR447C	13824	19703	17012
YDR448W	891	1398	1132
YDR449C	2118	3222	2536
YDR450W	32199	42296	38952
YDR451C	702	955	763
YDR452W	3816	5604	4319
YDR453C	169	202	153
YDR454C	4820	6518	5587
YDR455C	0	0	1
YDR456W	2608	3971	3200
YDR457W	22547	33841	26240
YDR458C	1857	2812	2097
YDR459C	537	810	653
YDR460W	652	852	652
YDR461C-A	80	128	100
YDR461W	4	3	5
YDR462W	310	414	300
YDR463W	2150	3139	2509
YDR464C-A	0	0	0
YDR464W	3667	5319	4335
YDR465C	2369	3553	2660
YDR466W	1718	2644	2068
YDR467C	5	15	12
YDR468C	707	999	754
YDR469W	579	906	722
YDR470C	974	1224	958
YDR471W	11144	16301	14864
YDR472W	1050	1543	1214
YDR473C	420	635	592
YDR475C	1833	2652	2003
YDR476C	790	1109	959
YDR477W	2690	4319	3196
YDR478W	252	442	336
YDR479C	779	1239	860
YDR480W	380	580	486
YDR481C	7327	11903	7859
YDR482C	177	350	256
YDR483W	8869	12823	10464
YDR484W	1093	1538	1179
YDR485C	1424	2080	1561
YDR486C	1083	1347	1117
YDR487C	2542	3721	2839
YDR488C	644	988	742
YDR489W	408	640	528
YDR490C	1284	1824	1469
YDR491C	0	0	3
YDR492W	1714	2846	2147
YDR493W	146	252	202
YDR494W	952	1518	1078
YDR495C	1212	1815	1330
YDR496C	8045	12235	9517
YDR497C	9976	15507	11732
YDR498C	908	1358	1136
YDR499W	885	1310	1043
YDR500C	10714	14891	14438
YDR501W	259	379	331
YDR502C	6921	11444	6931
YDR503C	335	502	404
YDR504C	51	66	57
YDR505C	3687	5433	4316
YDR506C	499	790	565
YDR507C	5253	7868	6131
YDR508C	8518	12799	8991
YDR509W	0	0	1
YDR510C-A	0	0	0
YDR510W	1802	3090	2510
YDR511W	290	399	319
YDR512C	226	382	309
YDR513W	1652	2359	1839
YDR514C	659	1064	856
YDR515W	820	1149	806
YDR516C	1871	3217	2449
YDR517W	1990	3227	2641
YDR518W	1972	2826	2384
YDR519W	597	891	708
YDR520C	815	1177	969
YDR521W	0	0	0
YDR522C	5	4	5
YDR523C	52	69	61
YDR524C	1558	2347	1810
YDR524C-A	0	0	0
YDR524C-B	4506	5891	5842
YDR524W-C	0	0	0
YDR525W	2	2	4
YDR525W-A	76	139	126
YDR526C	1	5	4
YDR527W	2136	3157	2392
YDR528W	561	872	728
YDR529C	1705	2251	1937
YDR530C	796	1071	874
YDR531W	1970	2883	2231
YDR532C	407	626	501
YDR533C	226	395	262
YDR534C	124	246	159
YDR535C	12	19	21
YDR536W	7	12	7
YDR537C	4	2	6
YDR538W	426	738	560
YDR539W	1647	2472	1744
YDR540C	59	83	66
YDR541C	451	618	456
YDR542W	0	3	1
YDR543C	0	0	0
YDR544C	0	1	1
YDR545C-A	13	56	43
YDR545W	2097	2320	2900
YEL001C	2975	4418	3717
YEL002C	6229	9705	7406
YEL003W	847	1186	950
YEL004W	325	572	385
YEL005C	316	397	345
YEL006W	877	1421	1099
YEL007W	3425	4237	3885
YEL008C-A	0	0	0
YEL008W	8	7	10
YEL009C	21190	30227	25041
YEL009C-A	7	8	10
YEL010W	1	0	0
YEL011W	1226	1627	1147
YEL012W	237	355	266
YEL013W	4982	6952	5277
YEL014C	0	0	0
YEL015W	2791	3651	3076
YEL016C	727	1155	866
YEL017C-A	458	814	662
YEL017W	1086	1598	1320
YEL018C-A	1	4	0
YEL018W	506	714	622
YEL019C	255	359	280
YEL020C	802	1175	961
YEL020C-B	1	0	2
YEL020W-A	267	391	293
YEL021W	0	0	0
YEL022W	8701	12368	9566
YEL023C	366	572	360
YEL024W	1104	1468	1140
YEL025C	2085	3205	2415
YEL026W	5029	6470	6238
YEL027W	8914	16325	13031
YEL028W	67	92	67
YEL029C	747	1127	883
YEL030C-A	5	1	1
YEL030W	387	592	465
YEL031W	27214	40408	28981
YEL032C-A	0	0	0
YEL032W	4805	6907	5347
YEL033W	1282	1551	1460
YEL034C-A	18	28	26
YEL034W	24758	35308	29494
YEL035C	2	4	0
YEL036C	2660	4155	3336
YEL037C	4906	6264	5349
YEL038W	1041	1626	1290
YEL039C	17	25	25
YEL040W	15544	20358	19142
YEL041W	118	191	156
YEL042W	6620	10005	7875
YEL043W	3347	5133	4192
YEL044W	490	716	686
YEL045C	1	1	1
YEL046C	14863	20068	17014
YEL047C	3635	5228	4341
YEL048C	146	305	215
YEL049W	8	9	3
YEL050C	1195	1904	1349
YEL050W-A	0	0	0
YEL051W	6084	8400	6925
YEL052W	2246	3546	2643
YEL053C	2069	2954	2333
YEL053W-A	2	8	5
YEL054C	21888	29736	25803
YEL055C	10728	15180	11358
YEL056W	1643	2423	1976
YEL057C	27	49	32
YEL058W	4243	6117	4575
YEL059C-A	18	27	34
YEL059W	0	0	1
YEL060C	5690	8143	6507
YEL061C	2710	3567	2944
YEL062W	829	1036	844
YEL063C	2868	4652	3475
YEL064C	417	555	417
YEL065W	4823	5360	5035
YEL066W	368	550	413
YEL067C	45	59	52
YEL068C	146	243	218
YEL069C	5	7	9
YEL070W	28	40	40
YEL071W	8873	15594	7431
YEL072W	133	174	128
YEL073C	24	34	17
YEL074W	4	6	7
YEL075C	20	34	28
YEL075W-A	27	21	5
YEL076C	67	125	100
YEL076C-A	0	0	0
YEL077C	858	1501	1169
YEL077W-A	9	9	2
YER001W	6590	9266	7208
YER002W	1042	1966	1497
YER003C	11254	15698	12428
YER004W	1425	2139	1676
YER005W	1797	2805	1989
YER006C-A	0	1	2
YER006W	7998	11215	8700
YER007C-A	2090	2865	2362
YER007W	280	465	317
YER008C	4998	7206	5507
YER009W	4089	5855	5339
YER010C	631	1003	810
YER011W	830	1513	2038
YER012W	3492	5088	3768
YER013W	1797	2736	2105
YER014C-A	0	0	0
YER014W	1140	1689	1512
YER015W	338	522	338
YER016W	1233	1729	1375
YER017C	3401	4831	3459
YER018C	279	246	273
YER019C-A	1180	1408	1307
YER019W	1587	2436	2075
YER020W	2187	3068	2392
YER021W	8754	12047	9715
YER022W	1920	2615	2106
YER023C-A	0	1	0
YER023W	5539	8387	6713
YER024W	798	1218	838
YER025W	13039	18864	14913
YER026C	2464	3800	2865
YER027C	1836	2739	2131
YER028C	339	633	425
YER029C	468	697	546
YER030W	1223	1892	1392
YER031C	1393	2142	1961
YER032W	1601	2202	1939
YER033C	908	1231	1067
YER034W	267	454	372
YER035W	567	727	646
YER036C	23513	33838	26493
YER037W	1114	1322	1285
YER038C	422	589	490
YER038W-A	18	34	27
YER039C	49	79	56
YER039C-A	6	7	9
YER040W	1166	1552	1176
YER041W	761	1076	786
YER042W	969	1399	831
YER043C	38943	53013	42995
YER044C	449	731	723
YER044C-A	79	102	84
YER045C	498	739	607
YER046W	78	139	135
YER046W-A	3	0	1
YER047C	819	1454	1219
YER048C	3145	4753	3649
YER048W-A	407	552	460
YER049W	7223	10299	8074
YER050C	486	740	535
YER051W	641	943	658
YER052C	5524	8041	6008
YER053C	861	1219	895
YER053C-A	0	0	1
YER054C	140	208	137
YER055C	10232	14025	11000
YER056C	10801	17791	12803
YER056C-A	9009	15204	14167
YER057C	1236	1768	1498
YER058W	61	109	77
YER059W	1045	1591	1179
YER060W	1110	1766	1242
YER060W-A	80	100	134
YER061C	915	1466	901
YER062C	1998	3060	2522
YER063W	1320	1911	1571
YER064C	2517	3430	3008
YER065C	404	570	428
YER066C-A	1	6	1
YER066W	50	71	61
YER067C-A	0	4	3
YER067W	432	491	309
YER068C-A	1	4	3
YER068W	2167	2995	2451
YER069W	1510	2121	1676
YER070W	20294	29266	24490
YER071C	225	301	240
YER072W	6059	9467	7627
YER073W	10631	14073	11287
YER074W	23242	34935	30640
YER074W-A	253	300	274
YER075C	1833	2729	2206
YER076C	333	446	343
YER076W-A	5	1	6
YER077C	1021	1540	1168
YER078C	1210	1717	1249
YER078W-A	0	2	0
YER079C-A	0	2	0
YER079W	288	371	280
YER080W	5408	7675	5950
YER081W	944	1348	1022
YER082C	3347	5155	3848
YER083C	1664	2500	2098
YER084W	6	15	5
YER084W-A	0	0	0
YER085C	0	10	5
YER086W	8194	12373	9963
YER087C-A	1	1	3
YER087C-B	604	887	731
YER087W	725	1091	774
YER088C	5533	7648	7099
YER088C-A	161	285	233
YER088W-B	1	0	0
YER089C	3694	5627	4607
YER090C-A	0	0	0
YER090W	4883	6991	5796
YER091C	36869	66014	32617
YER091C-A	0	0	0
YER092W	331	462	374
YER093C	2644	3771	3176
YER093C-A	107	173	151
YER094C	2670	3804	2992
YER095W	916	1549	1191
YER096W	136	160	137
YER097W	51	59	71
YER098W	794	1052	836
YER099C	1021	1759	1260
YER100W	1264	1960	1585
YER101C	439	619	459
YER102W	36524	51972	43265
YER103W	1514	2010	1378
YER104W	177	243	195
YER105C	8758	12912	9970
YER106W	10	22	16
YER107C	1528	2246	1776
YER107W-A	0	0	1
YER110C	37014	50197	40948
YER111C	2558	3510	2581
YER112W	1255	1575	1375
YER113C	2451	3542	2653
YER114C	4966	6827	5344
YER115C	385	576	430
YER116C	416	560	438
YER117W	16711	25617	22911
YER118C	1685	2382	1832
YER119C	590	1147	852
YER119C-A	0	2	0
YER120W	6564	9154	8089
YER121W	8	24	12
YER122C	5293	7816	6225
YER123W	1703	2386	1881
YER124C	10059	13465	10680
YER125W	10671	15098	11716
YER126C	3155	4401	3685
YER127W	1641	2559	2100
YER128W	157	282	240
YER129W	3655	5402	4077
YER130C	5627	6188	6106
YER131W	13108	17447	16087
YER132C	4667	6932	5591
YER133W	6043	8772	6721
YER133W-A	0	1	1
YER134C	573	856	774
YER135C	2	5	3
YER136W	5549	8057	6074
YER137C	156	206	160
YER137C-A	0	0	0
YER137W-A	0	0	0
YER138C	204946	331963	201196
YER138W-A	7	8	9
YER139C	212	328	235
YER140W	929	1310	989
YER141W	1802	2747	2272
YER142C	410	628	443
YER143W	1323	1779	1462
YER144C	1570	2566	1996
YER145C	6296	9056	7185
YER145C-A	5	9	2
YER146W	517	700	616
YER147C	673	1026	729
YER147C-A	2	0	2
YER148W	2563	3504	2804
YER148W-A	1	1	0
YER149C	994	1521	1137
YER150W	607	743	722
YER151C	5110	7383	5760
YER152C	2219	3337	2640
YER152W-A	4	1	3
YER153C	304	244	279
YER154W	2333	3758	2975
YER155C	20292	29509	22768
YER156C	3227	5319	4318
YER157W	2203	3329	2504
YER158C	731	1022	1029
YER158W-A	6	11	10
YER159C	380	656	563
YER159C-A	0	0	0
YER160C	17321	31156	15698
YER161C	959	1609	1275
YER162C	535	809	635
YER163C	624	1034	772
YER164W	7147	10326	8223
YER165C-A	0	0	1
YER165W	51587	69121	58081
YER166W	8723	12873	9249
YER167W	2955	4417	3285
YER168C	2058	2690	2205
YER169W	1656	2790	2148
YER170W	202	328	241
YER171W	1931	3088	2337
YER172C	7442	10620	8625
YER172C-A	0	0	0
YER173W	618	954	696
YER174C	714	1148	899
YER175C	328	583	397
YER175W-A	2	2	0
YER176W	2849	4645	3523
YER177W	20847	31842	25446
YER178W	18446	27698	20061
YER179W	37	38	41
YER180C	363	562	450
YER180C-A	59	116	78
YER181C	21	11	6
YER182W	517	685	477
YER183C	716	950	812
YER184C	761	1052	856
YER185W	78	104	91
YER186C	926	1478	1071
YER187W	18	21	23
YER188C-A	0	1	2
YER188W	67	105	103
YER189W	33	30	34
YER190C-A	4	9	0
YER190C-B	2	0	0
YER190W	762	1255	792
YFL001W	1356	1992	1699
YFL002C	2758	4097	3298
YFL002W-A	24003	45704	21242
YFL002W-B	0	0	0
YFL003C	183	214	193
YFL004W	13619	20146	15161
YFL005W	3041	4669	3646
YFL007W	13755	20246	14970
YFL008W	3554	5269	4011
YFL009W	2428	3540	2675
YFL010C	2814	4146	3375
YFL010W-A	1	1	3
YFL011W	4	16	12
YFL012W	4	8	8
YFL012W-A	0	0	2
YFL013C	1674	2611	2041
YFL013W-A	0	1	1
YFL014W	244	447	206
