	SRA6357070_rsem.genes.results	SRA6357071_rsem.genes.results	SRA6357072_rsem.genes.results
YBL039C	14978	20147	15585
YBL039C-A	0	0	0
YBL039W-B	8	19	14
YBL040C	1443	2271	1817
YBL041W	3184	4871	3948
YBL042C	2932	5429	3468
YBL043W	100	261	172
YBL044W	1	1	6
YBL045C	5353	7270	5910
YBL046W	641	921	772
YBL047C	14497	20696	17421
YBL048W	2	8	5
YBL049W	16	23	13
YBL050W	1391	2252	1767
YBL051C	4322	6176	4826
YBL052C	2118	3126	2306
YBL053W	4	5	3
YBL054W	1898	3028	2419
YBL055C	1680	2482	1902
YBL056W	5866	8879	6484
YBL057C	1279	1644	1377
YBL058W	4480	6559	5083
YBL059C-A	207	381	270
YBL059W	186	265	197
YBL060W	569	933	750
YBL061C	2932	4089	2983
YBL062W	8	1	2
YBL063W	1603	2424	2000
YBL064C	1121	1656	1229
YBL065W	1	2	1
YBL066C	1522	2318	1860
YBL067C	3869	5675	4155
YBL068W	1835	2941	2318
YBL068W-A	0	8	4
YBL069W	2043	2670	2530
YBL070C	2	1	0
YBL071C	5	5	5
YBL071C-B	0	0	0
YBL071W-A	110	209	141
YBL072C	48060	70493	61096
YBL073W	0	1	0
YBL074C	389	531	415
YBL075C	799	1211	877
YBL076C	63485	91837	68882
YBL077W	2	1	4
YBL078C	203	309	247
YBL079W	10793	15475	11950
YBL080C	468	710	493
YBL081W	774	1189	1044
YBL082C	1311	2038	1583
YBL083C	108	256	167
YBL084C	1015	1504	1240
YBL085W	3863	5734	4477
YBL086C	858	1152	868
YBL087C	12391	20013	17385
YBL088C	4010	6003	4343
YBL089W	807	1195	893
YBL090W	648	887	643
YBL091C	4400	6676	5423
YBL091C-A	180	337	254
YBL092W	36860	51881	45985
YBL093C	881	1481	1098
YBL094C	5	6	5
YBL095W	402	596	506
YBL096C	5	2	3
YBL097W	537	897	783
YBL098W	737	1133	865
YBL099W	24293	30517	24674
YBL100C	0	1	0
YBL100W-A	0	0	0
YBL100W-B	1804	2857	1745
YBL100W-C	0	0	0
YBL101C	2503	3801	3025
YBL102W	1123	1744	1395
YBL103C	811	1349	1028
YBL104C	2207	3241	2421
YBL105C	4295	6487	4903
YBL106C	1049	1463	1131
YBL107C	454	745	513
YBL107W-A	0	0	0
YBL108C-A	0	0	0
YBL108W	0	0	0
YBL109W	1	1	4
YBL111C	180	124	55
YBL112C	26	0	18
YBL113C	784	1278	1044
YBL113W-A	1	0	8
YBR001C	1523	2345	1690
YBR002C	1026	1573	1243
YBR003W	1558	2369	1681
YBR004C	1770	2582	1962
YBR005W	1506	2219	1949
YBR006W	811	1234	856
YBR007C	1099	1549	1343
YBR008C	583	1003	746
YBR009C	7538	8865	7575
YBR010W	8681	12595	11614
YBR011C	28145	42030	33093
YBR012C	62	127	48
YBR012W-A	0	0	0
YBR012W-B	4569	8203	3880
YBR013C	141	215	165
YBR014C	764	1028	863
YBR015C	6264	9511	7260
YBR016W	760	1031	958
YBR017C	8349	11201	8585
YBR018C	50	77	68
YBR019C	25	26	28
YBR020W	117	232	151
YBR021W	437	770	567
YBR022W	398	646	476
YBR023C	6313	9756	7164
YBR024W	291	489	373
YBR025C	23558	33239	26093
YBR026C	1926	2912	2244
YBR027C	1	0	0
YBR028C	1788	2556	2035
YBR029C	2729	4256	3263
YBR030W	1322	2135	1618
YBR031W	79371	117502	102932
YBR032W	0	0	0
YBR033W	103	122	80
YBR034C	5187	7777	5800
YBR035C	1991	3114	2480
YBR036C	3548	5719	4402
YBR037C	466	718	520
YBR038W	3105	4628	3996
YBR039W	5846	7682	6143
YBR040W	25	19	12
YBR041W	3104	4520	3583
YBR042C	1422	2076	1608
YBR043C	1084	1748	1323
YBR044C	917	1391	993
YBR045C	122	215	133
YBR046C	493	848	598
YBR047W	81	124	83
YBR048W	20339	29162	25835
YBR049C	4500	6483	5106
YBR050C	104	172	123
YBR051W	6	3	0
YBR052C	1546	2453	1826
YBR053C	1094	1494	1153
YBR054W	3347	3493	3217
YBR055C	2192	3402	2508
YBR056C-B	1	0	1
YBR056W	2114	3252	2527
YBR056W-A	174	240	223
YBR057C	951	1308	1051
YBR058C	3777	5320	4125
YBR058C-A	425	528	474
YBR059C	4592	6578	5264
YBR060C	1737	2338	1928
YBR061C	1426	2053	1677
YBR062C	550	750	550
YBR063C	686	1000	738
YBR064W	0	0	1
YBR065C	637	941	782
YBR066C	508	702	608
YBR067C	3209	5687	4328
YBR068C	11703	17627	12825
YBR069C	9929	14174	10608
YBR070C	461	699	568
YBR071W	928	1123	979
YBR072C-A	0	0	0
YBR072W	272	482	239
YBR073W	5332	7641	5717
YBR074W	5408	7507	5908
YBR076C-A	42	54	50
YBR076W	23	27	29
YBR077C	359	517	400
YBR078W	37911	52691	46469
YBR079C	19608	28524	22202
YBR080C	5826	8070	6296
YBR081C	3302	4925	3827
YBR082C	4840	6788	5606
YBR083W	1439	2197	1644
YBR084C-A	34275	47825	42250
YBR084W	20233	26747	21580
YBR085C-A	495	681	568
YBR085W	190	269	247
YBR086C	12506	17970	14480
YBR087W	1495	2058	1655
YBR088C	3031	4147	3402
