"","SNF2_14","SNF2_15","SNF2_31","SNF2_33","SNF2_42","SNF2_44","WT_02","WT_18","WT_20","WT_39","WT_42","WT_45","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YOR290C",13.4117876029722,9.49043263376348,18.8636229211611,20.7536930739926,20.1595743851792,7.55005399935519,1487.16175186368,1681.41981700335,1474.60677072807,1540.0764371708,1819.19950753597,1641.14193892996,811.152948987355,-6.74226900447271,0.168251466378493,-40.0725720232687,1.36209906244515e-301,9.12606371838248e-298
"YGR234W",282.392638973692,312.129784399332,329.558588681461,350.371171307993,314.713355679743,238.581706379624,5373.66579257151,5713.36276518139,5108.94530412248,6446.39633683818,5688.70204310923,6976.69675985453,3094.62635392493,-4.27316494376096,0.107435287776181,-39.7743146801377,1.64862782166797e-270,5.5229032025877e-267
"YML123C",388.196741174917,465.03119905441,340.654837458615,388.826543768626,397.591605929924,342.01744617079,7199.05178848413,8995.00054067216,11700.0594649768,10670.9115637997,9457.46714666909,9934.5212229285,5023.27750842397,-4.6419732843263,0.118995945240436,-39.0095080546402,9.30539449958782e-266,2.07820477157461e-262
"YIL121W",224.274892694146,185.590682615819,244.117473097378,224.628207389097,217.275412818043,231.786657780204,1323.17423959752,1522.26417431212,1523.00412115196,1620.28875160678,1560.83762307809,1514.14393566778,865.948847650745,-2.76821590023756,0.0774141272367755,-35.7585365752534,5.22119445124171e-189,8.74550070582987e-186
"YDR033W",506.667531667837,706.509984957948,618.061056887454,549.972866460805,580.147751751269,464.328320960344,7969.79309613505,7126.27510335871,7537.88732852174,8858.11325754661,6518.30442439599,8953.76890096187,4199.1524686338,-3.77963190710778,0.11336375801271,-33.3407428737854,2.4930331006259e-184,3.34066435483871e-181
"YHR215W",12.6666882916959,21.0898502972522,24.4117473097378,20.7536930739926,14.5596926115183,15.1001079987104,487.862848991806,588.98414710227,505.14734504941,631.003540229701,642.34927236775,728.394999355335,307.693661056598,-5.05974962200749,0.179722897564945,-28.1530605758183,2.63575991854375e-142,2.94326524237386e-139
"YOR153W",2045.29760945326,1816.89060310827,2032.83277597453,1972.21124476677,1909.55968481837,1744.81747925098,14176.7204354089,14213.5733146298,10748.7490457071,13442.2470275628,11888.2021238393,15569.1358579866,7630.01976687556,-2.79654377874894,0.0920221234448075,-30.3899070577983,9.09157536190077e-138,8.70193641781931e-135
"YER011W",129.647280162064,142.356489506452,149.799358491573,162.977530904589,132.157209858397,146.471047587491,2446.48869862067,2070.10604643298,1961.60510936852,3018.65676660734,2431.92012342919,3896.79034525756,1390.7480005189,-4.19503799666585,0.160968170579218,-26.0612888968712,6.55436501180023e-117,5.4892806973827e-114
"YPL095C",252.588666522642,244.642263448125,276.296594551124,229.51142928886,229.595152720097,269.53692777698,1034.14624922843,1002.57227981011,1052.64237171973,1033.40198431686,1026.33666027762,904.553520009325,629.652008305826,-2.01030599285361,0.0722258514801298,-27.8336073809621,2.13156320795054e-97,1.58683038814096e-94
"YOR273C",839.726923808313,784.542431057781,787.833663177903,673.88462216729,750.384157670561,781.430588933262,3604.65050400038,3905.26804889318,3015.75989828899,3534.68932281214,3304.18777003928,3941.03481091019,2160.28272847994,-2.20741493723901,0.0820952401849551,-26.888464328332,2.25725010014641e-96,1.5123575670981e-93
"YDR406W",627.373620094587,578.916390659572,601.416683721723,545.089644561042,543.188532045107,566.254049951639,2147.21148873494,2562.730654763,2193.00494108277,2208.51239080395,2603.76633098145,2219.59736024027,1449.75517397001,-2.00914872226335,0.0730613866118283,-27.4994605965783,4.31977883087677e-95,2.6311380151704e-92
"YFR015C",1174.27651457134,1326.55158369716,1227.24511475318,1047.45109749916,1182.69503059718,1147.60820790199,7371.23867636359,10204.3668868362,11619.9013533372,8010.53646833977,9821.30704817628,7492.88219246855,5135.50501454513,-2.94015049933152,0.119433540665721,-24.6174607479871,4.43045843186348e-93,2.47367262445711e-90
"YHR136C",23.0980786495632,39.0162230499165,55.4812438857678,36.6241642482223,31.359337932501,33.2202375971628,701.046614937805,756.801321368542,1281.01736903249,811.481247710654,955.227884738758,686.608559572296,450.915190226973,-4.5816692147049,0.202277406491451,-22.6504249494545,7.55234618342759e-91,3.8923630329973e-88
"YER081W",7345.93410987237,10441.5848821695,8319.96733310974,7382.21070696667,9132.2871964862,5900.36720049608,803.538810104151,776.289767412367,931.64899565999,922.441616013758,788.122262222424,1064.32520153271,4484.0598401705,3.1978559005585,0.13405359363082,23.8550553845301,2.21971245050463e-90,1.06229095845579e-87
"YKL062W",390.432039108745,404.925125707242,441.630701330712,419.957083379615,412.151298541442,401.662872765696,1608.10254215996,1800.51587616006,1969.16719537225,1772.69214903514,2248.22245328713,1759.12718067031,1135.71554312653,-2.1752054136834,0.0856828224819656,-25.3867152210262,2.01308137440371e-85,8.99176347233659e-83
"YPL019C",676.550174638818,489.28452689625,512.646693504495,671.443011217408,582.387704460734,677.239843742161,3616.94956742034,3928.00456927764,3452.8484693048,3034.69922949454,4101.79120233355,3299.49005894706,2086.94458760315,-2.56692843391936,0.108474304327837,-23.6639308251423,3.01193939186974e-81,1.26124962034546e-78
"YDR077W",3127.18180942634,5445.39934675051,5320.65128864514,3785.71777779124,4455.26593912461,3600.62075229249,30340.7645350933,39852.7894681755,50708.3239066366,46759.768700454,41339.0866595194,42245.2712786964,23081.7367885505,-3.2876095522043,0.154228919703113,-21.3164272857053,2.53091860270175e-73,9.97479684594218e-71
"YPL025C",225.019992005422,263.623128715652,276.296594551124,260.031566162378,229.595152720097,204.606463382526,15.3738292749519,9.74422302191255,9.07450320448042,13.3687190726632,11.8514625898109,22.122232826315,128.392322293944,4.0982651356348,0.202895429492078,20.1989031783233,1.13393172066898e-70,4.22074584915676e-68
"YOL109W",617.687329047996,908.972547811568,604.745558354869,680.599052279464,949.739948812889,656.099692543966,5666.79347074726,5321.42846141113,5945.31201613542,5052.03893755941,5053.46364829536,4205.68226286944,2971.8802438224,-2.82362826828382,0.131466740090088,-21.4778906539321,3.2875135334012e-70,1.15928108809411e-67
"YER124C",330.824094206647,314.238769429057,264.090720896255,321.071839909415,352.792551740637,287.657057375433,1147.91258586307,1351.19892570521,1119.18872855259,1153.72045597083,1219.51550049154,1124.95650631594,748.930644704719,-1.92718790459151,0.0817284855745675,-23.5803696965996,1.38151445227548e-68,4.62807341512285e-66
"YBR067C",884.432882484887,1104.05366306115,1267.19161035094,937.57860475449,1022.53841187048,1015.48226291327,7544.45048619471,5981.87024400743,5487.04960430916,7941.01912916192,6656.96653669678,9508.4634055328,4112.59140344484,-2.79189302736401,0.135531617452615,-20.5995698999174,1.88589465717244e-64,6.01690200145494e-62
"YGR035C",52.9020511006124,52.7246257431304,79.8929911955057,56.7674545847445,59.3587468008056,58.135415795035,960.35186870866,690.757143108912,476.411418235222,733.942677089208,553.463302944168,911.927597618097,390.552941077008,-3.59636923303664,0.183923383973309,-19.5536269252123,6.7475940833823e-64,2.05494910721188e-61
"YFR055W",420.981110871071,350.091514934386,440.521076452997,409.580236842619,363.992315287959,373.727672968082,1286.27704933764,1500.61034537453,1687.85759603336,1390.34678355697,1547.8010142293,1485.46696718923,938.104473589845,-1.91315097445335,0.0845851552476339,-22.6180464982579,5.84296423718131e-63,1.70208088648325e-60
"YCL064C",1664.5518613911,1711.44135162201,1641.13519414101,1709.73806765451,1543.32741682094,1694.2321174553,4690.04285081198,4611.1828722584,4277.11584371177,4006.60510607715,4457.33508002787,4186.01805591272,3016.06048482373,-1.39570988697968,0.0537993038773426,-25.9428986323274,1.53598534067823e-62,4.28795907606005e-60
