	SNF2_06	SNF2_15	SNF2_31	SNF2_33	SNF2_42	SNF2_44	WT_22	WT_18	WT_20	WT_39	WT_42	WT_45
YDL246C	14	7	3	4	4	6	4	2	3	1	1	3
YDL243C	460	270	254	366	175	256	220	185	200	154	154	255
YDR387C	892	630	574	972	523	893	847	576	410	444	469	749
YDL094C	9	8	7	51	10	53	20	29	14	9	26	14
YDR438W	295	281	260	473	262	390	418	212	161	148	208	372
YDR523C	81	33	24	78	31	52	162	64	27	51	38	106
YDR542W	0	3	3	0	3	3	2	0	0	0	0	2
YDR492W	1652	495	617	1241	486	1030	2622	961	468	720	837	1614
YDR018C	220	142	117	238	159	312	127	72	54	36	52	56
YDL189W	2435	982	1211	1835	1045	1463	1992	995	691	878	933	1469
YDR508C	2401	1904	2460	3589	1582	2721	3187	1886	1276	1828	1833	3576
YDR462W	698	471	414	553	312	465	624	334	313	318	339	490
YDR175C	1603	483	513	899	440	769	885	508	428	401	457	689
YDR186C	3179	1132	1220	1911	1056	1601	3531	1349	966	1155	1190	2425
YDR150W	4000	1379	1542	2650	1429	1946	2375	1337	893	1064	1178	1669
YDR243C	141	201	184	344	155	242	311	218	129	181	180	284
YDL182W	771	1268	1270	1593	957	1186	2333	2064	1777	1966	1796	3550
YDR362C	447	351	304	547	344	509	616	324	214	341	276	458
YDR232W	1260	1680	1709	2432	1338	1727	2582	1618	1227	1700	1535	2963
YDR158W	2174	6824	5143	7734	5018	5791	4051	3617	3546	3919	3674	5623
YDR439W	378	195	211	338	183	278	376	175	147	187	175	280
YDL206W	503	273	309	678	305	617	624	384	220	219	359	428
YDR125C	203	77	68	152	86	150	214	125	62	66	84	111
YDR338C	441	359	450	660	300	533	417	331	233	300	315	529
YDR526C	6	3	0	5	1	3	5	3	3	1	2	5
YDR533C	210	173	146	306	156	289	270	204	190	155	198	241
YDR272W	1375	659	576	1218	780	1066	1014	601	511	423	578	686
YDR197W	644	183	172	419	188	382	417	246	169	143	210	309
YDR512C	1894	445	321	520	337	551	509	231	226	236	212	244
YDR489W	680	301	335	404	233	367	472	218	171	172	196	323
YDR299W	207	74	103	303	91	137	683	242	111	279	217	524
YDL015C	1060	1209	1112	2270	1247	1819	2938	1533	1080	1045	1424	1903
YDR304C	5418	2771	2400	3438	2331	2798	3213	1723	1545	1678	1718	2696
YDR271C	1	0	0	2	1	1	0	0	0	0	0	0
YDL181W	223	327	340	498	297	476	261	229	279	175	224	204
YDR367W	471	510	426	657	412	520	407	327	247	297	305	458
YDR085C	915	441	477	925	506	867	1269	925	744	519	995	864
YDL097C	4197	3690	3497	4838	3145	4125	4091	3011	2491	2484	2818	3967
YDL139C	555	275	297	447	226	351	384	186	130	153	153	264
YDR200C	1168	347	364	838	441	652	709	387	203	270	349	477
YDR191W	237	162	184	334	140	259	156	99	78	57	95	128
YDR451C	475	268	231	384	237	272	526	291	257	248	305	420
YDR469W	643	555	497	691	410	519	568	321	277	314	283	439
YDR470C	437	328	357	622	323	534	608	349	264	299	276	486
YDR105C	1150	718	608	1047	590	710	844	588	474	523	523	766
YDR483W	3312	2607	2266	4116	2350	3274	4307	2565	2108	2261	2331	3337
YDL123W	1767	368	439	686	378	546	719	401	297	357	357	561
YDL199C	437	301	241	372	261	387	286	189	143	118	144	211
YDR505C	1027	525	481	1043	585	802	981	758	478	533	670	796
YDL045W-A	396	349	369	599	308	530	915	339	258	282	350	417
YDL045C	2180	599	607	993	547	831	960	462	388	355	438	539
YDR361C	380	235	266	618	259	430	1077	554	303	481	526	920
YDR406W-A	2	0	1	37	4	18	10	23	9	6	20	8
YDR199W	29	18	9	60	21	42	34	19	12	11	15	18
YDR266C	854	387	332	804	441	616	1081	609	340	490	510	840
YDL242W	30	25	17	24	15	36	38	32	20	23	22	26
YDR002W	1111	4256	3311	6799	3632	4916	3438	3785	2633	3543	3638	5465
YDR214W	1838	1162	1010	1417	1041	1147	1811	1231	1022	813	1023	1396
YDR130C	169	171	180	327	187	261	288	206	152	163	211	239
YDL176W	697	334	301	624	319	461	537	265	186	248	271	452
YDR358W	1318	954	871	1519	855	1358	1312	799	688	637	858	914
YDR544C	0	1	0	0	0	0	0	0	0	0	0	0
YDR460W	811	501	551	990	500	718	627	381	254	288	344	535
snR84	38	89	85	187	94	162	105	99	96	67	80	148
YDR034W-B	23	64	46	54	49	79	19	34	43	10	47	13
YDL028C	1193	265	295	709	313	525	672	320	198	229	276	467
YDR061W	640	446	586	990	485	778	831	507	401	402	459	806
YDR060W	911	514	621	1730	649	990	3122	1413	573	1273	1225	2307
YDR169C-A	8	4	4	4	2	5	7	6	3	7	6	11
YDR363W	715	233	208	523	279	402	636	325	167	225	311	375
YDR422C	902	420	380	775	458	621	915	548	326	457	428	715
YDR119W	524	597	509	1044	541	780	1161	801	457	678	621	1219
tR(ACG)D	0	1	2	1	0	1	0	0	0	0	0	1
YDR097C	480	448	402	760	453	534	552	371	255	348	318	609
YDR042C	81	20	17	69	17	69	43	26	7	16	22	27
YDL160C	2589	828	721	1185	693	827	1216	859	700	885	829	1282
YDR425W	1446	248	212	410	221	407	640	274	186	171	235	286
snR13	19	16	5	22	13	20	53	6	15	10	12	13
YDR228C	1535	381	397	883	447	766	1315	539	281	364	451	670
YDR319C	428	526	349	766	458	636	478	400	301	245	314	409
YDR471W	1060	6803	5798	8162	4764	5808	6950	5651	4671	6510	5051	9649
YDR089W	234	196	152	294	172	274	721	599	627	437	463	652
tD(GUC)D	0	0	0	0	0	1	2	0	0	0	0	0
YDR275W	437	442	465	691	325	490	578	424	277	378	355	745
YDR043C	371	189	173	281	150	314	762	207	97	163	161	336
YDR129C	4940	4036	3507	5734	3771	4662	4534	3801	3541	3235	3021	4700
YDR136C	4	11	1	14	6	10	15	10	7	4	4	17
YDL066W	1199	1741	1660	2821	1670	1906	1361	1376	1265	1230	1312	1788
YDR302W	371	333	313	680	276	554	780	335	251	235	318	463
YDR239C	553	325	284	543	259	464	604	285	176	255	248	435
YDR539W	595	449	442	678	403	522	675	538	419	407	450	716
tK(CUU)D1	0	1	0	0	0	0	0	0	0	0	0	0
YDL125C	1925	3774	3123	3427	2265	3306	2511	1961	1991	2132	1956	2748
YDR493W	107	201	177	239	168	189	220	139	152	125	130	223
YDR101C	261	174	233	526	199	335	886	522	231	503	411	1090
YDR182W-A	67	25	24	42	21	52	41	16	10	8	16	18
YDR212W	1253	2031	1826	3393	1788	2241	2300	2057	1337	1853	1865	2993
YDR476C	1838	3445	3418	2569	1914	2390	1741	1118	1418	1413	1160	1968
YDL131W	1794	1370	1250	1888	1147	1383	1622	956	884	988	934	1332
YDR458C	424	384	362	1110	469	791	726	511	290	421	446	525
YDR081C	2396	437	438	909	481	762	1366	518	310	378	448	673
YDL071C	75	41	39	47	22	27	30	24	19	24	24	35
YDR113C	919	427	412	717	402	601	647	269	219	178	298	415
YDR168W	1460	593	493	1557	730	1144	1553	914	590	642	871	839
YDR520C	519	162	162	410	189	350	378	201	112	126	139	249
YDR307W	682	394	365	755	453	584	671	369	278	261	376	474
YDR265W	551	361	327	567	330	509	621	333	238	268	289	408
YDL076C	1219	533	510	1104	565	986	955	525	326	398	500	553
YDL006W	701	371	362	749	378	524	573	362	281	294	383	506
YDL086W	430	903	790	836	603	751	633	423	471	508	468	660
YDR238C	2020	2944	2642	4352	2701	2964	3160	2814	1765	2510	2477	3963
YDR077W	18324	5164	4795	6202	3978	4769	72244	36809	33528	34977	34881	51560
YDR381C-A	1003	328	260	571	317	456	333	192	157	127	172	198
YDL023C	38	5	2	4	1	6	19	3	2	1	0	3
YDL083C	1484	8920	7829	10296	5787	7477	7012	7653	7020	8893	7821	13436
YDR036C	686	439	446	704	370	549	854	532	438	588	489	706
YDR057W	1489	548	545	1064	535	821	951	451	326	406	436	646
YDR513W	441	1187	898	1584	924	1653	1457	1064	903	737	1143	1113
YDR487C	2657	3633	3151	3488	2240	2753	3196	1755	1833	2015	1774	3109
YDR066C	81	110	103	165	96	132	187	108	76	87	100	155
YDR352W	406	478	423	626	367	533	604	429	303	390	443	657
YDR278C	0	0	0	0	0	2	0	1	0	0	0	1
YDR079C-A	179	136	142	222	144	196	112	98	74	100	96	119
YDR204W	759	900	681	1035	751	835	718	553	503	482	521	743
YDL247W-A	2	2	0	0	1	0	0	2	1	1	1	1
YDL024C	121	96	58	125	59	122	43	40	25	26	27	46
tA(AGC)D	0	0	0	1	0	1	0	0	0	0	0	0
YDR109C	482	279	282	518	277	405	399	279	223	217	237	406
YDR466W	2672	543	572	1027	602	886	1464	640	398	503	610	915
YDR427W	3338	940	820	2005	1049	1783	2207	1198	796	731	1112	1216
YDL044C	275	163	147	313	154	238	284	156	99	93	133	186
YDL079C	1532	482	527	963	475	1018	1130	769	696	497	818	671
YDR193W	0	2	2	1	1	0	0	3	1	3	1	5
YDR305C	1178	283	271	512	283	397	462	231	163	198	214	302
YDR377W	922	872	783	1246	729	1115	672	616	585	529	560	766
YDR219C	735	248	337	792	321	638	761	396	188	227	394	425
YDR416W	351	320	313	598	303	443	554	360	202	275	305	460
YDR365C	3444	844	1017	3044	1222	1419	4543	2232	1173	2079	2221	3635
YDL233W	646	510	424	706	481	650	522	396	250	346	345	487
YDR287W	790	601	559	962	585	773	556	394	384	269	351	485
YDR448W	430	227	200	556	302	283	471	262	146	228	255	412
YDR180W	191	179	181	478	216	343	497	290	112	190	206	363
tF(GAA)D	0	1	0	2	1	1	1	0	0	0	1	0
tT(AGU)D	0	0	1	0	0	1	0	0	0	0	1	1
YDR294C	1537	1733	1611	2487	1472	2007	2169	1637	1224	1338	1424	2193
YDR198C	302	180	161	363	123	241	369	182	112	160	156	282
YDL163W	0	0	0	0	0	0	0	0	0	0	0	0
YDL119C	600	241	204	409	220	425	432	195	122	126	169	194
YDR501W	111	53	48	116	44	74	156	87	62	63	62	128
YDL214C	306	180	142	184	159	234	91	46	48	31	53	79
YDR264C	1614	1576	1424	2478	1545	1817	2008	1639	1012	1280	1384	2184
YDR343C	306	151	153	245	127	289	672	502	504	238	568	437
YDR373W	438	633	589	1140	592	807	671	530	397	380	457	558
YDR354W	1927	1182	1116	1580	921	1390	1041	671	689	598	658	926
YDR246W	2571	765	778	1027	665	981	1211	562	530	426	480	676
YDR428C	131	239	189	362	176	302	353	267	207	220	253	354
YDR157W	116	54	54	49	33	66	86	33	25	27	26	53
YDR316W	890	207	212	740	277	575	609	326	161	217	314	305
YDL142C	739	313	276	567	327	588	495	286	181	192	263	295
YDR253C	538	268	262	364	239	320	308	147	148	92	132	186
YDL112W	796	495	501	1230	502	814	1699	755	397	703	695	1288
YDR545W	0	0	1	0	0	0	0	0	0	0	0	0
YDL187C	8	1	0	2	1	2	6	1	0	0	1	0
YDL138W	2065	662	627	728	548	638	744	396	349	408	381	636
YDR528W	819	187	177	352	198	212	221	100	100	85	105	122
YDR284C	626	1125	872	1580	919	1313	1127	759	734	656	775	1034
YDR050C	7843	58051	49374	67775	43843	50656	25927	41196	40057	45170	42064	66406
YDL010W	226	186	158	548	263	411	239	193	113	113	150	170
YDL065C	2288	543	460	1236	568	899	1351	580	389	453	555	647
YDR349C	2420	1762	1664	2384	1397	1864	2017	1170	933	1052	981	1855
YDL098C	329	118	119	256	118	242	258	94	77	87	101	125
YDL234C	2100	1085	801	1608	1057	1352	1792	1534	1198	1534	1153	1398
YDR118W	135	149	129	327	171	243	250	193	87	105	137	205
YDR118W-A	10	0	6	11	2	7	7	0	0	3	4	2
YDR159W	935	423	461	1024	456	780	1128	568	349	416	490	750
YDR111C	991	825	878	1832	935	1453	951	488	273	431	441	851
YDR128W	1028	733	826	1757	860	1256	1065	779	446	572	741	994
YDL034W	5	2	1	10	3	6	8	7	0	4	6	5
YDR065W	129	73	50	166	93	119	244	93	75	71	100	133
YDL004W	664	1515	1261	1811	1088	1553	1119	839	795	830	879	1025
YDR024W	52	5	5	53	15	29	69	26	3	3	7	24
YDL171C	1032	2823	3133	3918	1923	2540	2758	2558	1983	3081	2207	4954
YDR083W	411	94	113	589	156	283	1064	420	147	282	394	593
YDR457W	3133	1612	1565	3071	1695	2183	2381	1894	1167	1562	1692	2498
YDR014W	350	89	93	216	126	183	246	129	59	104	106	135
YDR206W	1878	984	1038	1435	729	1164	1613	798	631	778	714	1353
YDR478W	140	77	54	126	58	104	122	74	46	60	60	100
YDR169C	5705	929	884	1427	848	1180	1595	814	574	627	736	1037
YDR115W	44	370	350	399	286	429	218	253	266	254	282	374
YDL159W-A	9	0	1	1	0	6	8	0	1	0	0	1
YDL232W	84	445	337	319	204	304	225	199	195	257	192	258
YDL240C-A	1	0	1	3	0	3	2	0	3	0	0	2
tE(CUC)D	0	0	0	0	0	0	0	0	0	0	0	0
YDL152W	0	1	0	0	0	0	0	0	0	0	0	0
YDR432W	12980	2561	2497	4437	2198	3252	5237	2928	2218	2322	2575	4142
YDL022C-A	3	0	1	1	0	0	0	0	0	0	0	1
YDL114W-A	35	2	5	5	5	5	13	8	0	5	3	3
YDR410C	526	302	275	584	311	525	496	310	220	226	323	375
YDR464C-A	0	0	0	0	0	0	0	0	0	0	0	0
YDL072C	3237	2866	2415	4055	2342	3854	2991	2078	1979	1631	1992	2272
YDR053W	8	1	1	1	1	1	4	1	1	1	2	3
YDL012C	5313	843	726	975	561	778	1167	511	484	590	489	819
YDR482C	1313	1028	966	937	638	698	661	497	575	646	463	863
YDL070W	1282	819	684	2027	797	1564	3438	1745	1006	1146	1664	1746
YDR064W	3359	13895	11377	16973	10212	12616	12813	12194	10120	12936	12078	20294
YDL135C	896	577	447	1207	628	912	891	586	389	362	540	578
YDL077C	691	348	331	621	427	541	614	449	244	286	350	495
YDR354C-A	0	0	0	0	0	0	0	0	0	0	0	0
YDL033C	387	165	111	178	114	136	373	208	134	146	157	295
YDL031W	881	379	436	1180	477	696	1860	861	405	844	778	1533
YDR398W	877	600	666	1082	533	780	2007	905	565	971	809	1732
YDR326C	1249	578	610	1447	654	1030	1404	811	440	588	673	1055
YDL052C	3481	1513	1482	1818	1070	1654	2569	1294	1105	1160	1146	1852
YDR536W	274	151	136	221	136	266	220	103	74	77	74	138
YDR397C	38	27	17	32	24	36	96	38	30	43	54	45
YDL116W	783	444	440	1045	502	817	965	576	344	467	524	732
YDR028C	3964	2248	2089	3979	2451	3064	3456	2425	1728	2078	2316	3184
YDL007W	6542	2769	2879	6531	3266	4499	4925	3045	2211	2090	2897	3409
YDR236C	796	557	522	782	439	689	545	337	362	315	349	463
YDR011W	1832	989	906	1654	906	1273	3297	2213	1631	2213	2106	3270
YDR155C	934	8814	6376	8947	5433	7436	8196	7000	6604	7806	7754	9996
YDR414C	370	233	203	389	234	365	530	300	166	193	249	368
YDR026C	1331	575	617	1156	604	832	1133	555	328	495	490	849
YDL073W	1081	411	433	1194	553	748	1023	599	295	434	479	656
tY(GUA)D	1	1	0	0	0	0	0	0	0	0	1	1
YDL115C	967	434	365	982	440	820	772	447	270	291	366	399
YDL145C	4662	2810	2787	5482	3162	3882	5916	3766	2350	3134	3521	5099
YDR203W	1	0	1	1	0	2	3	1	0	0	4	1
YDL104C	174	124	118	220	153	220	235	147	93	83	117	176
YDL149W	503	391	400	693	420	480	430	339	226	246	282	358
YDR231C	74	230	201	355	178	348	170	168	210	118	193	209
YDR045C	92	396	339	542	276	364	347	298	195	295	277	437
YDL075W	2615	8059	7356	14270	7659	10126	9928	9600	7013	8079	8121	14101
YDR415C	720	379	383	662	400	566	594	384	321	288	372	470
YDR339C	496	361	380	645	319	534	1001	400	275	355	398	604
YDL213C	1301	731	871	1961	924	1405	2210	1042	598	938	1069	1514
YDR096W	4881	1605	1705	2731	1529	2528	3113	1615	1040	1151	1391	1827
YDL019C	4144	1646	1316	2238	1526	1764	2441	1741	1285	1388	1505	2001
YDL022W	2274	3199	2383	2718	2136	2213	4364	4396	4173	4035	3954	5634
YDR413C	8	0	1	4	0	3	5	1	1	2	4	4
YDR391C	383	834	652	906	667	866	972	707	786	729	649	857
YDR091C	391	369	453	882	398	624	1861	1012	496	899	820	1606
YDR240C	351	130	140	265	126	213	314	141	94	130	128	216
YDL244W	18	62	56	59	29	70	8	12	8	5	9	18
YDR179C	24	30	30	81	33	63	86	52	17	23	52	51
YDL165W	277	408	333	549	377	485	441	354	252	269	333	441
YDL140C	13924	5390	5755	6346	3904	4756	7677	4587	3082	4494	3929	7540
YDR120C	448	324	419	897	369	506	1300	719	332	581	604	1276
YDR003W	2546	794	697	1139	531	1028	860	472	405	403	441	530
YDR499W	715	279	339	620	330	441	410	249	162	176	229	305
YDR166C	547	252	230	609	338	573	787	443	254	279	390	462
YDL092W	2103	555	569	1211	560	870	1321	638	384	485	561	797
YDL041W	2	0	0	0	0	1	0	1	2	0	1	0
YDL241W	169	76	88	169	83	126	511	280	310	222	209	360
YDL082W	5267	4646	4224	7410	4212	6492	10956	5377	4075	4735	4754	7729
YDR277C	1927	375	451	886	427	780	3271	1827	1370	1150	1748	1942
YDR291W	551	362	300	718	399	482	635	479	288	341	386	614
YDR475C	2113	1158	1164	1701	1006	1345	1157	918	697	881	776	1258
YDR244W	838	486	477	1211	549	860	957	575	368	456	541	697
YDR407C	1833	409	399	1097	517	806	1019	569	351	405	513	706
YDR382W	1851	11149	10164	21299	11250	12873	8358	13138	9643	11957	12146	20062
YDR102C	11	14	10	11	4	8	18	7	13	3	6	5
YDL188C	1266	861	808	1208	790	933	1096	766	586	728	711	1057
YDR405W	2946	1030	1104	1394	816	1194	1647	914	806	795	897	1290
YDR443C	982	324	345	560	382	454	698	378	215	335	333	430
YDR059C	1897	560	471	730	485	792	483	252	220	170	237	243
YDR144C	928	692	671	1126	659	812	1316	758	463	640	647	1203
YDL157C	213	451	461	1080	526	690	412	475	288	300	352	453
YDL058W	1847	685	672	2404	1008	1339	1432	967	471	723	954	1089
YDL096C	0	3	1	2	1	1	0	4	0	6	1	1
YDL155W	1146	724	763	1362	690	1077	1018	585	415	466	490	874
YDR147W	381	270	275	607	304	472	538	249	170	195	249	349
YDL191W	474	3645	2999	4091	2041	2711	2022	2573	2432	2679	3216	3887
YDL128W	1869	1324	1458	2334	1260	1836	1972	1324	949	1014	1097	1931
YDR310C	1911	786	940	1405	843	1194	1544	867	602	726	818	1269
YDL160C-A	84	274	190	239	176	223	225	135	159	143	152	203
YDR127W	1712	2374	1975	3185	2007	2329	2797	2244	2010	2314	2011	3430
YDR497C	4334	5761	6438	9010	4732	6306	6299	5023	5044	5095	4783	8174
YDL162C	1	1	1	2	1	0	2	4	3	1	1	1
tS(AGA)D3	0	0	0	0	0	0	1	0	1	0	0	0
YDR201W	462	379	286	532	254	442	331	233	169	190	256	329
YDR163W	908	284	281	677	295	514	520	253	196	207	264	331
YDL146W	566	405	321	660	393	567	739	557	381	380	507	652
YDR363W-A	5585	869	765	1507	820	1222	1961	678	642	635	743	689
YDL221W	77	72	60	107	52	96	34	36	45	24	36	74
YDL089W	319	271	249	626	310	479	547	320	232	202	298	331
YDR385W	612	2670	2458	3972	2310	3033	2900	2565	2101	2656	2352	4219
YDR331W	377	463	368	737	372	571	650	424	308	364	372	614
YDR196C	741	732	739	1091	576	918	833	612	484	499	559	649
YDR116C	1001	456	454	830	378	720	838	510	420	363	514	670
YDR001C	1798	2051	1746	2636	1690	2431	2575	2330	1960	1799	2207	2309
YDL230W	1042	653	751	848	511	708	711	432	498	383	437	707
YDR160W	616	545	484	902	412	706	745	541	362	441	433	692
YDR123C	1177	355	311	374	242	315	485	133	88	161	103	351
YDR322W	327	331	351	526	299	488	614	414	348	295	357	493
YDR040C	47	100	100	175	84	115	122	131	115	107	117	123
YDR025W	1583	14949	12822	12639	8843	9751	9296	8307	8935	11649	8734	17208
YDR046C	3208	1838	1945	3156	1564	2089	3103	2229	1996	2197	1943	3270
YDL057W	532	275	234	312	207	311	210	143	149	119	145	197
YDL248W	14	69	29	74	69	78	63	87	57	55	89	67
YDR008C	21	5	7	44	10	30	26	17	10	13	16	18
YDR029W	53	10	9	33	23	27	72	53	13	31	48	39
YDR485C	1621	536	569	1142	591	972	1223	541	318	425	530	698
YDR408C	651	1598	1535	1842	1225	1416	1377	1179	1318	1108	1030	1967
YDR038C	425	207	135	232	150	221	266	152	113	115	131	164
YDL204W	1640	301	282	425	232	401	692	396	494	311	462	418
YDR019C	241	234	196	276	142	188	572	616	1254	593	545	731
YDR477W	1957	936	911	1803	908	1424	1981	1290	846	980	1130	1694
YDR254W	417	212	216	479	255	454	460	268	152	155	221	274
YDR514C	816	286	339	624	284	395	569	269	167	305	284	503
YDR296W	987	1063	1053	1355	768	1095	1131	778	768	693	746	1200
YDL216C	786	386	303	431	289	389	398	249	207	229	257	303
YDL100C	3264	3953	3188	4765	3164	3127	2883	2618	2148	2611	2394	4004
YDL068W	3	1	2	3	2	6	3	0	0	5	3	3
YDL026W	0	1	0	1	1	1	2	0	0	0	0	2
YDL124W	4737	2221	1610	2716	1874	2427	4334	2768	2961	2149	2393	2789
YDL227C	55	31	38	84	35	55	304	106	82	126	132	264
YDL111C	1053	558	513	680	429	559	1013	517	351	475	511	908
YDR324C	387	128	154	507	189	320	982	446	198	436	368	792
YDL170W	636	308	283	548	313	442	440	290	357	258	290	316
YDR317W	293	89	84	197	103	189	266	91	55	64	93	124
YDR436W	1631	1074	946	1482	957	1160	951	736	573	550	631	940
YDR208W	1685	647	689	1436	682	1195	1213	686	455	502	634	920
YDR386W	417	188	191	518	234	392	284	195	108	127	144	218
YDR504C	124	19	22	120	36	113	125	44	19	5	40	16
YDL220C	522	191	186	325	201	281	310	204	143	164	203	297
YDR396W	27	22	17	50	18	47	99	39	35	24	40	59
YDR258C	785	1019	747	1600	1054	1141	1438	1202	1080	959	1035	1217
YDR176W	1657	768	883	1909	950	1553	1612	792	489	588	760	1094
YDL099W	3914	856	819	2163	1038	1709	2414	914	635	646	1061	1041
YDR380W	634	396	351	517	354	636	632	395	335	255	357	408
YDL110C	4027	2524	2430	3216	1826	2815	2203	1568	1598	1277	1603	1942
YDR148C	943	1161	1095	1823	1202	1563	1257	1145	1001	888	1106	1497
YDL201W	615	304	326	699	281	440	1054	541	304	484	447	877
YDL107W	362	157	126	430	200	365	333	211	160	132	202	211
YDR515W	854	114	138	369	140	227	572	227	140	169	211	265
YDR133C	3456	2620	2776	4275	2170	4305	13302	5459	4065	4203	5343	7646
YDR378C	873	900	780	1168	673	897	828	616	599	586	616	901
YDR473C	1514	281	244	615	360	421	559	274	167	200	247	376
YDR403W	223	58	49	93	49	90	91	51	46	34	36	57
YDR268W	213	139	116	284	147	275	299	205	134	114	182	239
YDR409W	1263	465	458	664	430	614	918	403	311	380	352	615
YDR173C	428	219	196	456	204	324	275	195	117	204	184	268
YDR187C	7	14	8	14	9	13	24	29	11	14	17	19
YDR389W	1062	574	568	867	509	650	1173	556	417	462	495	797
YDR417C	3	4	3	7	0	5	17	8	3	10	3	4
YDR165W	402	214	207	676	327	449	1135	649	271	419	491	832
YDL113C	631	495	403	1172	566	968	702	598	353	416	513	575
YDR426C	0	0	0	5	0	8	1	2	0	0	1	0
YDR521W	3	0	0	4	1	0	4	0	0	1	0	5
YDR086C	1151	1563	1431	3070	1527	2321	2219	1302	988	1128	1313	1649
YDL021W	219	225	182	328	212	303	179	130	111	76	127	121
YDR023W	2268	2520	2300	6519	3249	4354	5507	4217	2569	3169	3831	5540
YDR394W	2502	3229	3432	4133	2754	3380	3925	2865	2409	2376	2516	4023
YDR320C-A	88	262	228	392	223	385	280	206	164	125	160	198
YDR003W-A	107	149	162	340	190	348	202	130	90	76	100	106
YDR183W	150	165	145	283	151	218	258	171	121	127	123	200
YDR245W	1472	1266	1273	2191	1093	1722	2135	1252	878	1142	1262	1800
YDR431W	3	0	0	2	1	1	2	1	3	1	4	3
YDL154W	67	47	44	66	52	60	196	127	89	92	99	145
YDL184C	601	3907	3110	8306	3809	5467	2215	4131	3167	3533	4013	5034
YDR153C	2304	1028	985	1782	850	1382	1672	734	523	656	774	1096
YDR014W-A	7	3	2	10	6	8	6	5	3	2	4	5
YDR434W	589	722	698	1514	759	1058	918	805	531	594	702	1039
YDL002C	711	299	244	762	353	579	697	331	197	253	312	414
YDR225W	1448	4675	5136	10251	4474	8966	7907	8299	5014	5404	7847	10265
YDR418W	513	1742	1478	2819	1777	2451	1822	1963	1344	1694	1797	2598
YDR224C	3166	4942	4689	11507	5561	9309	11322	8109	4307	5042	7108	9246
YDR502C	682	1685	1882	2758	1442	1632	1615	1693	1846	1672	1560	2777
YDR447C	1266	3747	3165	6734	3460	4502	4100	4616	3276	4275	4574	6814
YDL039C	1713	463	382	488	285	399	6892	2269	1418	2574	1813	4974
YDL225W	1672	635	620	1535	789	1081	1506	796	435	627	703	1022
YDR259C	690	195	171	443	237	389	288	140	88	77	98	123
YDR495C	611	163	183	539	219	438	545	278	154	150	277	293
YDL151C	1	2	1	12	0	5	9	3	2	2	7	6
YDR357C	398	129	104	277	122	256	384	125	81	90	127	108
YDR370C	371	211	241	486	247	407	474	253	145	201	201	351
YDR298C	927	1112	983	1996	1112	1547	1277	926	793	729	868	1135
YDR276C	15535	4824	4060	5507	3414	5106	4278	2983	3283	3168	3018	3769
YDL185C-A	2	5	1	11	1	3	24	20	12	20	22	12
YDR545C-A	0	0	0	0	0	0	0	0	0	0	0	0
tM(CAU)D	0	0	0	0	0	2	1	0	0	0	0	0
YDL247W	3	5	6	6	5	7	3	1	5	4	1	3
YDR406W	674	549	542	893	485	750	2821	2367	1450	1652	2197	2709
YDR273W	744	204	187	428	235	313	277	120	66	104	125	209
YDR269C	0	0	1	2	0	0	1	1	0	1	0	0
YDR453C	1427	172	157	301	181	341	379	240	242	128	257	187
YDR383C	461	284	241	673	270	495	361	174	149	143	206	210
YDR375C	1358	473	552	840	430	691	851	525	397	351	457	716
YDL161W	7283	1874	1731	2350	1382	1801	2679	1216	1177	1284	1229	1763
YDL051W	656	502	451	889	423	565	1358	655	450	699	646	1218
YDR084C	1196	718	610	1069	642	823	611	520	440	341	432	594
YDL056W	1583	407	481	911	471	758	1104	431	277	352	415	594
YDR344C	157	72	71	129	66	115	85	41	30	39	28	70
YDR320C	745	357	361	706	413	638	661	329	225	239	320	369
YDR221W	857	592	477	783	589	623	729	476	335	407	426	607
tI(AAU)D	0	1	1	0	0	2	0	0	0	0	0	0
YDL032W	0	0	0	1	0	1	0	0	0	0	0	0
YDR456W	932	882	848	1988	1029	1421	1165	818	555	579	767	949
YDL036C	287	195	202	441	205	350	408	196	126	177	197	332
tL(CAA)D	0	0	0	0	1	0	1	0	0	0	0	3
YDL217C	231	406	512	720	392	545	487	389	294	346	381	596
snR63	270	80	53	128	62	131	188	116	84	52	101	133
YDR334W	1607	965	1090	1970	1005	1560	1495	1162	665	817	917	1438
YDL049C	557	285	372	559	233	421	621	265	226	278	272	543
YDL164C	608	407	458	876	468	566	664	434	300	337	363	552
YDR384C	253	369	378	809	357	666	943	707	452	605	650	1144
YDR149C	0	0	0	0	0	1	1	1	0	0	0	0
YDR093W	2114	1942	1994	2716	1707	1943	2076	1778	1256	1592	1531	2623
YDR071C	929	1201	1160	2587	1262	2022	1824	1241	955	1012	1279	1436
YDL143W	2505	2934	2595	4156	2434	2687	3480	3175	2323	2996	2762	4898
YDR032C	1507	4354	3813	5188	3500	4182	2092	2207	2275	1984	2205	2996
tR(UCU)D	0	0	0	0	0	0	0	0	0	0	0	0
YDR063W	1474	550	412	848	492	808	1015	476	347	351	406	380
YDL166C	499	837	911	995	545	728	713	515	517	608	533	1009
YDR004W	735	335	391	707	380	563	540	384	210	235	316	383
YDR151C	1019	743	725	1067	577	977	1032	575	372	498	558	898
YDR037W	5314	5976	5390	8956	5418	6032	10099	7380	5401	7120	6141	11426
YDL175C	190	367	372	579	279	483	423	293	225	246	272	411
