	SNF2_06	SNF2_15	SNF2_31	SNF2_33	SNF2_42	SNF2_44	WT_22	WT_18	WT_20	WT_39	WT_42	WT_45
YGL100W	1740	895	847	1235	843	983	1233	680	565	652	622	1066
YGR288W	360	273	182	334	233	262	346	245	149	194	200	297
YGL174W	427	185	196	394	195	348	322	152	110	105	180	201
YGR211W	428	359	393	900	358	500	1848	916	484	841	689	1683
YGL204C	76	49	34	76	44	55	95	56	45	52	44	80
YGR270W	1809	976	919	2389	1284	1932	2020	1337	801	897	1170	1484
YGR204W	7517	7386	7033	8754	6328	6401	6090	5630	5919	5669	4753	8428
YGR266W	900	789	755	1410	824	1247	927	627	419	504	640	767
YGL070C	912	333	314	567	269	451	722	362	292	334	344	512
YGL225W	542	2052	1724	3263	1705	2191	2301	2075	1520	1766	1800	3136
YGL120C	685	697	739	1386	766	892	2739	1354	737	1274	1269	2473
tE(UUC)G1	1	0	1	1	1	0	1	0	3	3	1	4
YGR252W	824	401	414	886	453	779	828	508	290	371	481	627
YGL106W	2233	2947	2573	3228	2016	2436	2361	1663	1491	1716	1574	2758
YGR284C	1322	1243	1040	1920	1170	1469	1482	988	750	695	850	1139
YGR032W	1222	1554	1499	2073	1186	1737	2037	1745	2001	1737	1424	2097
YGR174C	1976	430	390	832	396	651	559	324	320	283	321	427
YGR208W	324	961	686	841	690	530	961	831	844	735	696	1299
YGL016W	270	233	191	455	234	319	607	374	203	308	293	533
YGR255C	1274	995	882	1495	1015	1314	1256	845	679	631	757	1000
YGR146C-A	62	6	15	32	9	20	22	3	6	10	8	14
YGL194C	371	134	93	314	168	168	252	191	101	120	163	223
YGL138C	7	0	2	6	1	10	9	4	0	2	2	4
YGR091W	284	193	168	313	190	295	364	199	145	144	170	287
YGR200C	1013	413	400	1030	462	721	1511	826	413	730	678	1378
YGR191W	976	1089	887	1845	1108	1405	1665	1315	842	1036	1060	1798
YGR270C-A	0	0	0	0	0	0	0	0	0	0	0	0
YGL227W	1201	1038	1015	1884	1205	1450	1190	967	715	729	904	1074
YGR081C	284	125	93	243	118	167	441	165	93	152	135	256
YGL243W	293	199	165	407	197	328	319	220	114	172	226	301
YGL194C-A	121	47	39	93	44	78	111	56	26	33	35	52
YGR148C	5616	2771	2286	8120	3564	5658	9240	5041	3072	3924	4844	6066
YGL136C	781	205	170	406	234	380	402	211	145	139	196	211
YGR276C	1107	653	609	1320	640	983	1084	639	385	515	601	853
YGL129C	1242	383	357	713	367	556	808	488	319	363	406	602
tR(UCU)G2	0	0	0	0	0	0	0	0	0	0	0	0
YGR053C	159	117	125	206	108	198	167	112	76	80	64	115
YGR069W	13	11	5	14	10	20	13	5	7	9	13	15
YGL224C	367	484	447	620	372	544	757	440	474	353	462	540
YGL193C	0	0	0	0	0	0	0	0	0	0	0	0
YGL020C	1027	1046	949	1713	874	1461	1261	817	671	717	861	1084
YGL177W	30	5	7	13	7	11	35	9	6	12	12	10
YGL189C	6550	14171	12228	15779	9874	15442	21545	8663	10252	7976	8253	13371
YGR122W	488	350	296	602	328	492	621	371	218	324	336	515
YGL003C	1109	1028	921	1335	746	1094	968	572	426	573	465	906
YGR210C	1522	1247	1238	2046	1118	1220	1607	1350	930	1190	1168	2331
tG(GCC)G1	0	0	2	0	1	3	0	0	0	0	0	1
YGR079W	108	82	77	69	45	64	250	84	78	132	60	296
YGL115W	704	744	717	1264	646	1014	1346	923	649	805	848	1176
YGL105W	5029	4375	4330	8207	4437	5652	7024	4193	3115	3830	4071	6205
YGR026W	1128	1110	1020	2285	1214	1761	2028	1254	857	942	1179	1469
YGR087C	174	201	186	232	146	220	40	17	17	9	19	26
YGR278W	570	174	181	476	239	389	523	239	108	157	218	278
YGR042W	2236	531	561	908	427	664	674	351	297	315	310	483
YGR043C	393	210	176	341	202	355	168	116	110	70	108	118
YGL165C	38	33	14	72	40	71	24	30	14	15	18	26
YGR110W	230	222	140	299	220	271	147	81	48	38	47	83
YGR089W	1274	450	439	1216	459	896	1345	596	302	416	537	745
YGL158W	754	410	474	784	386	657	450	240	176	186	287	379
YGR262C	2874	791	746	1070	541	879	1106	565	481	626	550	933
YGL200C	2335	4552	3967	5357	3354	4011	3143	2488	2318	2376	2535	3832
YGL117W	425	550	514	832	483	655	377	297	469	321	401	331
YGL186C	614	1046	858	1342	796	990	1074	1160	1130	1002	983	1526
YGR010W	561	383	350	485	302	400	392	320	213	241	267	393
YGR198W	1259	659	622	1361	690	1185	1672	777	443	561	721	998
YGR137W	97	187	141	440	228	384	155	212	164	122	191	191
YGL058W	919	487	454	819	429	680	759	453	328	418	447	640
YGL226W	328	412	337	488	264	433	327	171	226	199	220	270
YGL055W	3181	8519	7799	13843	6629	9777	14209	11350	6545	9785	10974	17896
YGL184C	111	143	132	200	127	193	63	62	176	69	64	60
YGL024W	11	5	4	23	6	26	6	13	4	5	5	4
tV(AAC)G3	1	0	1	6	0	3	4	1	0	0	1	0
YGL151W	2640	599	630	1375	706	1075	1615	794	455	591	740	1010
YGR101W	589	375	350	712	295	694	565	386	300	251	372	464
YGL230C	8	15	16	36	17	40	23	21	5	3	12	11
YGR103W	1360	1283	1404	3730	1506	1951	4356	2575	1429	2709	2476	4432
YGR096W	462	441	444	624	396	670	359	173	155	134	195	242
YGR112W	273	367	351	540	310	482	503	351	328	303	311	415
tI(AAU)G	2	3	0	0	0	0	1	0	0	0	1	1
YGL013C	997	431	349	711	448	614	916	462	284	347	426	553
YGL076C	1686	7473	6835	10004	6009	7685	8620	6612	5774	6573	6525	10564
YGR067C	901	269	239	358	212	384	116	81	68	50	80	103
YGR094W	3039	5879	5601	9949	5531	7280	6382	6180	4362	6212	5827	9666
YGL226C-A	2681	637	533	908	519	801	1155	541	419	473	487	654
YGR045C	38	23	23	40	17	43	30	15	17	21	23	32
YGR175C	1069	2689	2521	3930	2103	2612	3873	2793	1841	3066	2310	5002
YGL008C	3238	18149	14191	25933	14357	15962	20108	27113	17742	28096	21010	44405
YGR115C	0	0	0	0	0	0	0	0	0	0	0	0
YGR108W	176	160	170	344	175	328	850	489	224	334	411	680
YGR218W	2886	1232	1258	2677	1359	2240	3208	1737	1012	1432	1644	2247
YGR205W	523	562	504	979	576	795	758	566	405	474	617	714
YGL073W	4256	1062	1063	1626	1125	1437	1834	827	630	678	902	1096
YGL009C	2669	3336	2783	5505	2948	4055	5045	3254	2504	3699	3044	5352
YGL095C	1881	579	608	1288	679	1096	1305	623	450	528	701	807
