ENSMUSG00000099498.3	Gm29283	Gene Expression
ENSMUSG00000042414.8	Prdm14	Gene Expression
ENSMUSG00000005886.15	Ncoa2	Gene Expression
ENSMUSG00000134412.1	ENSMUSG00000134412	Gene Expression
ENSMUSG00000134452.1	ENSMUSG00000134452	Gene Expression
ENSMUSG00000101476.3	Gm29570	Gene Expression
ENSMUSG00000134491.1	ENSMUSG00000134491	Gene Expression
ENSMUSG00000122424.1	ENSMUSG00000122424	Gene Expression
ENSMUSG00000126000.1	ENSMUSG00000126000	Gene Expression
ENSMUSG00000025935.11	Tram1	Gene Expression
ENSMUSG00000120948.2	Gm57152	Gene Expression
ENSMUSG00000131318.1	ENSMUSG00000131318	Gene Expression
ENSMUSG00000025937.7	Lactb2	Gene Expression
ENSMUSG00000067813.4	Xkr9	Gene Expression
ENSMUSG00000134219.1	ENSMUSG00000134219	Gene Expression
ENSMUSG00000025932.15	Eya1	Gene Expression
ENSMUSG00000127312.1	ENSMUSG00000127312	Gene Expression
ENSMUSG00000127278.1	ENSMUSG00000127278	Gene Expression
ENSMUSG00000140763.1	ENSMUSG00000140763	Gene Expression
ENSMUSG00000140464.1	ENSMUSG00000140464	Gene Expression
ENSMUSG00000134469.1	ENSMUSG00000134469	Gene Expression
ENSMUSG00000054493.4	Gm9947	Gene Expression
ENSMUSG00000025930.7	Msc	Gene Expression
ENSMUSG00000032769.6	Trpa1	Gene Expression
ENSMUSG00000125466.1	ENSMUSG00000125466	Gene Expression
ENSMUSG00000092083.5	Kcnb2	Gene Expression
ENSMUSG00000128216.1	ENSMUSG00000128216	Gene Expression
ENSMUSG00000137925.1	ENSMUSG00000137925	Gene Expression
ENSMUSG00000132707.1	ENSMUSG00000132707	Gene Expression
ENSMUSG00000132745.1	ENSMUSG00000132745	Gene Expression
ENSMUSG00000132786.1	ENSMUSG00000132786	Gene Expression
ENSMUSG00000025925.15	Terf1	Gene Expression
ENSMUSG00000032719.5	Sbspon	Gene Expression
ENSMUSG00000137819.1	ENSMUSG00000137819	Gene Expression
ENSMUSG00000067795.14	4930444P10Rik	Gene Expression
ENSMUSG00000136711.1	ENSMUSG00000136711	Gene Expression
ENSMUSG00000043716.14	Rpl7	Gene Expression
ENSMUSG00000025921.8	Rdh10	Gene Expression
ENSMUSG00000132226.1	ENSMUSG00000132226	Gene Expression
ENSMUSG00000100868.2	Gm28095	Gene Expression
ENSMUSG00000025920.20	Stau2	Gene Expression
ENSMUSG00000089982.9	Gm7568	Gene Expression
ENSMUSG00000025939.20	Ube2w	Gene Expression
ENSMUSG00000079658.10	Eloc	Gene Expression
ENSMUSG00000097744.3	D030040B21Rik	Gene Expression
ENSMUSG00000025940.7	Tmem70	Gene Expression
ENSMUSG00000125087.1	ENSMUSG00000125087	Gene Expression
ENSMUSG00000025779.11	Ly96	Gene Expression
ENSMUSG00000142287.1	ENSMUSG00000142287	Gene Expression
ENSMUSG00000101640.2	Gm28376	Gene Expression
ENSMUSG00000042686.6	Jph1	Gene Expression
ENSMUSG00000127806.1	ENSMUSG00000127806	Gene Expression
ENSMUSG00000127769.1	ENSMUSG00000127769	Gene Expression
ENSMUSG00000100110.3	Gm28783	Gene Expression
ENSMUSG00000025777.9	Gdap1	Gene Expression
ENSMUSG00000099899.3	Gm28784	Gene Expression
ENSMUSG00000138285.1	ENSMUSG00000138285	Gene Expression
ENSMUSG00000137468.1	ENSMUSG00000137468	Gene Expression
ENSMUSG00000137506.1	ENSMUSG00000137506	Gene Expression
ENSMUSG00000067780.4	Pi15	Gene Expression
ENSMUSG00000100053.3	Gm28154	Gene Expression
ENSMUSG00000085125.9	Gm16070	Gene Expression
ENSMUSG00000025776.14	Crispld1	Gene Expression
ENSMUSG00000099895.2	Gm28153	Gene Expression
ENSMUSG00000109887.3	Gm28756	Gene Expression
ENSMUSG00000025774.15	Crisp4	Gene Expression
ENSMUSG00000142595.1	ENSMUSG00000142595	Gene Expression
ENSMUSG00000131994.1	ENSMUSG00000131994	Gene Expression
ENSMUSG00000073735.2	Defb18	Gene Expression
ENSMUSG00000067773.7	Defb41	Gene Expression
ENSMUSG00000132263.1	ENSMUSG00000132263	Gene Expression
ENSMUSG00000132383.1	ENSMUSG00000132383	Gene Expression
ENSMUSG00000134916.1	ENSMUSG00000134916	Gene Expression
ENSMUSG00000089787.4	Gm15825	Gene Expression
ENSMUSG00000042596.8	Tfap2d	Gene Expression
ENSMUSG00000025927.14	Tfap2b	Gene Expression
ENSMUSG00000142982.1	ENSMUSG00000142982	Gene Expression
ENSMUSG00000100538.3	Gm28340	Gene Expression
ENSMUSG00000141106.1	ENSMUSG00000141106	Gene Expression
ENSMUSG00000142065.1	ENSMUSG00000142065	Gene Expression
ENSMUSG00000136536.1	ENSMUSG00000136536	Gene Expression
ENSMUSG00000043760.17	Pkhd1	Gene Expression
ENSMUSG00000089914.4	4930486I03Rik	Gene Expression
ENSMUSG00000099906.3	Lincmd1	Gene Expression
ENSMUSG00000133531.1	ENSMUSG00000133531	Gene Expression
ENSMUSG00000025929.5	Il17a	Gene Expression
ENSMUSG00000041872.10	Il17f	Gene Expression
ENSMUSG00000041859.11	Mcm3	Gene Expression
ENSMUSG00000102121.2	Gm28065	Gene Expression
ENSMUSG00000097934.3	6720483E21Rik	Gene Expression
ENSMUSG00000025931.16	Paqr8	Gene Expression
ENSMUSG00000133875.1	ENSMUSG00000133875	Gene Expression
ENSMUSG00000041809.6	Efhc1	Gene Expression
ENSMUSG00000041779.6	Tram2	Gene Expression
ENSMUSG00000137435.1	ENSMUSG00000137435	Gene Expression
ENSMUSG00000099971.2	Gm28287	Gene Expression
ENSMUSG00000129840.1	ENSMUSG00000129840	Gene Expression
ENSMUSG00000129885.1	ENSMUSG00000129885	Gene Expression
ENSMUSG00000099343.3	Gm28836	Gene Expression
ENSMUSG00000025933.16	Tmem14a	Gene Expression
ENSMUSG00000025934.16	Gsta3	Gene Expression
ENSMUSG00000138037.1	ENSMUSG00000138037	Gene Expression
ENSMUSG00000121505.2	ENSMUSG00000121505	Gene Expression
ENSMUSG00000141880.1	ENSMUSG00000141880	Gene Expression
ENSMUSG00000141838.1	ENSMUSG00000141838	Gene Expression
ENSMUSG00000067750.4	Khdc1a	Gene Expression
ENSMUSG00000141922.1	ENSMUSG00000141922	Gene Expression
ENSMUSG00000041722.8	Khdc1c	Gene Expression
ENSMUSG00000085079.4	Khdc1b	Gene Expression
ENSMUSG00000129191.1	ENSMUSG00000129191	Gene Expression
ENSMUSG00000028033.17	Kcnq5	Gene Expression
ENSMUSG00000128794.1	ENSMUSG00000128794	Gene Expression
ENSMUSG00000124418.1	ENSMUSG00000124418	Gene Expression
ENSMUSG00000123368.1	ENSMUSG00000123368	Gene Expression
ENSMUSG00000140384.1	ENSMUSG00000140384	Gene Expression
ENSMUSG00000124412.1	ENSMUSG00000124412	Gene Expression
ENSMUSG00000128972.1	ENSMUSG00000128972	Gene Expression
ENSMUSG00000135509.1	ENSMUSG00000135509	Gene Expression
ENSMUSG00000041670.20	Rims1	Gene Expression
ENSMUSG00000131366.1	ENSMUSG00000131366	Gene Expression
ENSMUSG00000141541.1	ENSMUSG00000141541	Gene Expression
ENSMUSG00000128277.1	ENSMUSG00000128277	Gene Expression
ENSMUSG00000101227.3	Gm29506	Gene Expression
ENSMUSG00000073730.3	Ppp1r14bl	Gene Expression
ENSMUSG00000141721.1	ENSMUSG00000141721	Gene Expression
ENSMUSG00000141755.1	ENSMUSG00000141755	Gene Expression
ENSMUSG00000134304.1	ENSMUSG00000134304	Gene Expression
ENSMUSG00000097970.2	Gm27028	Gene Expression
ENSMUSG00000100775.2	Gm29107	Gene Expression
ENSMUSG00000133147.1	ENSMUSG00000133147	Gene Expression
ENSMUSG00000026158.12	Ogfrl1	Gene Expression
ENSMUSG00000138593.1	ENSMUSG00000138593	Gene Expression
ENSMUSG00000099503.3	Gm28822	Gene Expression
ENSMUSG00000142633.1	ENSMUSG00000142633	Gene Expression
ENSMUSG00000026156.9	B3gat2	Gene Expression
ENSMUSG00000026155.14	Smap1	Gene Expression
ENSMUSG00000141937.1	ENSMUSG00000141937	Gene Expression
ENSMUSG00000141893.1	ENSMUSG00000141893	Gene Expression
ENSMUSG00000026154.5	Sdhaf4	Gene Expression
ENSMUSG00000026153.16	Fam135a	Gene Expression
ENSMUSG00000143955.1	ENSMUSG00000143955	Gene Expression
ENSMUSG00000122847.1	ENSMUSG00000122847	Gene Expression
ENSMUSG00000026147.17	Col9a1	Gene Expression
ENSMUSG00000026141.14	Col19a1	Gene Expression
ENSMUSG00000125396.1	ENSMUSG00000125396	Gene Expression
ENSMUSG00000125434.1	ENSMUSG00000125434	Gene Expression
ENSMUSG00000138098.1	ENSMUSG00000138098	Gene Expression
