,myAUC,avg_diff,power,avg_log2FC,pct.1,pct.2,cluster,gene
4119,0.814,0.708112752,0.628,1.847185584,0.872,0.39,6,Maged1
4120,0.814,0.622787396,0.628,1.210184759,0.973,0.79,6,Atp5f1a
4121,0.814,0.699370457,0.628,2.568798157,0.765,0.188,6,Laptm4b
4122,0.813,0.610479658,0.626,1.056845657,0.996,0.888,6,Uqcr11
4123,0.812,1.143813513,0.624,3.913208124,0.695,0.09,6,Mia
4124,0.81,0.689011446,0.62,3.676280455,0.654,0.036,6,Foxj1
4125,0.808,0.598731897,0.616,1.342963024,0.94,0.621,6,Ndufb7
4126,0.808,0.667215684,0.616,1.299910855,0.977,0.601,6,Gng5
4127,0.808,1.028827841,0.616,4.025454492,0.65,0.04,6,Thbs1
4128,0.807,0.695234003,0.614,1.683614619,0.829,0.27,6,Timp3
4129,0.807,0.684063035,0.614,4.986017578,0.636,0.026,6,Fbn1
4130,0.806,0.618713356,0.612,2.863837586,0.712,0.117,6,Plaat3
4131,0.805,0.730218457,0.61,1.884308307,0.835,0.308,6,Sgk1
4132,0.804,0.604881266,0.608,1.196186869,0.979,0.745,6,Pkm
4133,0.801,0.681419785,0.602,3.502862587,0.665,0.075,6,Cgnl1
4134,0.8,0.757429594,0.6,6.824167042,0.607,0.009,6,Wfdc2
4135,0.799,0.806575869,0.598,4.090874137,0.646,0.065,6,Cox6b2
4136,0.798,0.662521429,0.596,4.915925383,0.615,0.02,6,Ogn
4137,0.795,0.635065421,0.59,2.301614009,0.716,0.131,6,Cdkn1c
4138,0.795,0.723350769,0.59,3.01837274,0.691,0.141,6,Slc29a4
4139,0.792,0.56823264,0.584,2.193539595,0.728,0.143,6,Cd82
4140,0.791,0.624092512,0.582,3.750514961,0.636,0.067,6,Atp11c
4141,0.791,0.606044924,0.582,4.727111679,0.607,0.028,6,Hs6st2
4142,0.791,0.684898645,0.582,3.485225002,0.646,0.081,6,Mest
4143,0.791,0.573965079,0.582,1.535936094,0.844,0.253,6,Car2
4144,0.789,0.524972988,0.578,0.937200553,0.994,0.889,6,Uqcrq
4145,0.789,0.519902991,0.578,1.080339155,0.965,0.748,6,Tomm7
4146,0.788,0.636355792,0.576,2.092233765,0.77,0.281,6,Ogdh
4147,0.788,0.574432681,0.576,5.08367461,0.595,0.019,6,Trpv4
4148,0.788,0.613208267,0.576,7.333523303,0.58,0.005,6,Kcnj13
4149,0.787,0.608698971,0.574,3.310621252,0.644,0.081,6,Aifm3
4150,0.786,0.584037427,0.572,1.844202267,0.796,0.291,6,Atp6ap2
4151,0.786,0.556943892,0.572,4.174282076,0.595,0.021,6,Rsph1
4152,0.785,0.604680074,0.57,3.034651704,0.658,0.107,6,Wwc1
