-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	0
-150	-145	0
-145	-140	0
-140	-135	0
-135	-130	0
-130	-125	0
-125	-120	0
-120	-115	0
-115	-110	0
-110	-105	0
-105	-100	13934
-100	-95	45178
-95	-90	45180
-90	-85	48689
-85	-80	46902
-80	-75	49327
-75	-70	48184
-70	-65	44690
-65	-60	41625
-60	-55	41622
-55	-50	40256
-50	-45	38278
-45	-40	34799
-40	-35	32446
-35	-30	30363
-30	-25	28952
-25	-20	27604
-20	-15	25438
-15	-10	22975
-10	-5	22034
-5	0	20171
0	5	18764
5	10	16598
10	15	16490
15	20	14667
20	25	14075
25	30	12793
30	35	12026
35	40	10783
40	45	10420
45	50	9067
50	55	8520
55	60	7799
60	65	7024
65	70	6910
70	75	6531
75	80	5798
80	85	5426
85	90	5300
90	95	4712
95	100	4531
100	105	4019
105	110	3793
110	115	3656
115	120	3293
120	125	2912
125	130	2652
130	135	2554
135	140	2367
140	145	2141
145	150	1882
150	155	1874
155	160	1505
160	165	1480
165	170	1331
170	175	1371
175	180	1303
180	185	1177
185	190	1078
190	195	953
195	200	879
200	205	817
205	210	655
210	215	605
215	220	617
220	225	573
225	230	565
230	235	460
235	240	413
240	245	393
245	250	398
