run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	sample_alias	Lane	Sample	BiolRep	label
ERR458715	SAMEA2400919	ERX425062	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458715/ERR458715.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458715	mu_sample216	6	SNF2	31	SNF2_31
ERR458725	SAMEA2400929	ERX425072	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458725/ERR458725.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458725	mu_sample226	2	SNF2	33	SNF2_33
ERR458728	SAMEA2400932	ERX425075	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458728/ERR458728.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458728	mu_sample229	5	SNF2	33	SNF2_33
ERR458729	SAMEA2400933	ERX425076	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458729/ERR458729.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458729	mu_sample230	6	SNF2	33	SNF2_33
ERR458724	SAMEA2400928	ERX425071	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458724/ERR458724.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458724	mu_sample225	1	SNF2	33	SNF2_33
ERR458726	SAMEA2400930	ERX425073	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458726/ERR458726.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458726	mu_sample227	3	SNF2	33	SNF2_33
ERR458727	SAMEA2400931	ERX425074	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458727/ERR458727.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458727	mu_sample228	4	SNF2	33	SNF2_33
ERR458730	SAMEA2400934	ERX425077	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458730/ERR458730.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458730	mu_sample231	7	SNF2	33	SNF2_33
ERR458790	SAMEA2400994	ERX425137	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458790/ERR458790.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458790	mu_sample291	4	SNF2	42	SNF2_42
ERR458793	SAMEA2400997	ERX425140	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458793/ERR458793.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458793	mu_sample294	7	SNF2	42	SNF2_42
