run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	sample_alias
ERR458526	SAMEA2400730	ERX424873	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458526/ERR458526.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458526	mu_sample27
ERR458528	SAMEA2400732	ERX424875	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458528/ERR458528.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458528	mu_sample29
ERR458531	SAMEA2400735	ERX424878	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458531/ERR458531.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458531	mu_sample32
ERR458530	SAMEA2400734	ERX424877	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458530/ERR458530.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458530	mu_sample31
ERR458539	SAMEA2400743	ERX424886	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458539/ERR458539.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458539	mu_sample40
ERR458533	SAMEA2400737	ERX424880	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458533/ERR458533.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458533	mu_sample34
ERR458540	SAMEA2400744	ERX424887	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458540/ERR458540.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458540	mu_sample41
ERR458541	SAMEA2400745	ERX424888	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458541/ERR458541.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458541	mu_sample42
ERR458534	SAMEA2400738	ERX424881	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458534/ERR458534.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458534	mu_sample35
ERR458542	SAMEA2400746	ERX424889	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458542/ERR458542.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458542	mu_sample43
ERR458547	SAMEA2400751	ERX424894	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458547/ERR458547.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458547	mu_sample48
ERR458535	SAMEA2400739	ERX424882	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458535/ERR458535.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458535	mu_sample36
ERR458549	SAMEA2400753	ERX424896	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458549/ERR458549.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458549	mu_sample50
ERR458537	SAMEA2400741	ERX424884	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458537/ERR458537.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458537	mu_sample38
ERR458554	SAMEA2400758	ERX424901	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458554/ERR458554.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458554	mu_sample55
ERR458556	SAMEA2400760	ERX424903	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458556/ERR458556.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458556	mu_sample57
ERR458543	SAMEA2400747	ERX424890	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458543/ERR458543.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458543	mu_sample44
ERR458557	SAMEA2400761	ERX424904	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458557/ERR458557.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458557	mu_sample58
ERR458560	SAMEA2400764	ERX424907	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458560/ERR458560.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458560	mu_sample61
