run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	sample_alias
ERR458609	SAMEA2400813	ERX424956	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458609/ERR458609.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458609	mu_sample110
ERR458664	SAMEA2400868	ERX425011	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458664/ERR458664.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458664	mu_sample165
ERR458619	SAMEA2400823	ERX424966	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458619/ERR458619.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458619	mu_sample120
ERR458667	SAMEA2400871	ERX425014	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458667/ERR458667.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458667	mu_sample168
ERR458670	SAMEA2400874	ERX425017	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458670/ERR458670.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458670	mu_sample171
ERR458674	SAMEA2400878	ERX425021	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458674/ERR458674.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458674	mu_sample175
ERR458622	SAMEA2400826	ERX424969	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458622/ERR458622.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458622	mu_sample123
ERR458676	SAMEA2400880	ERX425023	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458676/ERR458676.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458676	mu_sample177
ERR458677	SAMEA2400881	ERX425024	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458677/ERR458677.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458677	mu_sample178
ERR458623	SAMEA2400827	ERX424970	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458623/ERR458623.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458623	mu_sample124
ERR458679	SAMEA2400883	ERX425026	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458679/ERR458679.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458679	mu_sample180
ERR458624	SAMEA2400828	ERX424971	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458624/ERR458624.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458624	mu_sample125
ERR458680	SAMEA2400884	ERX425027	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458680/ERR458680.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458680	mu_sample181
ERR458625	SAMEA2400829	ERX424972	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458625/ERR458625.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458625	mu_sample126
ERR458681	SAMEA2400885	ERX425028	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458681/ERR458681.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458681	mu_sample182
ERR458685	SAMEA2400889	ERX425032	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458685/ERR458685.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458685	mu_sample186
ERR458626	SAMEA2400830	ERX424973	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458626/ERR458626.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458626	mu_sample127
ERR458691	SAMEA2400895	ERX425038	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458691/ERR458691.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458691	mu_sample192
ERR458630	SAMEA2400834	ERX424977	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458630/ERR458630.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458630	mu_sample131
ERR458695	SAMEA2400899	ERX425042	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458695/ERR458695.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458695	mu_sample196
ERR458696	SAMEA2400900	ERX425043	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458696/ERR458696.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458696	mu_sample197
ERR458637	SAMEA2400841	ERX424984	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458637/ERR458637.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458637	mu_sample138
ERR458699	SAMEA2400903	ERX425046	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458699/ERR458699.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458699	mu_sample200
ERR458703	SAMEA2400907	ERX425050	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458703/ERR458703.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458703	mu_sample204
ERR458638	SAMEA2400842	ERX424985	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458638/ERR458638.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458638	mu_sample139
ERR458704	SAMEA2400908	ERX425051	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458704/ERR458704.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458704	mu_sample205
ERR458641	SAMEA2400845	ERX424988	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458641/ERR458641.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458641	mu_sample142
ERR458706	SAMEA2400910	ERX425053	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458706/ERR458706.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458706	mu_sample207
ERR458708	SAMEA2400912	ERX425055	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458708/ERR458708.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458708	mu_sample209
ERR458642	SAMEA2400846	ERX424989	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458642/ERR458642.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458642	mu_sample143
ERR458648	SAMEA2400852	ERX424995	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458648/ERR458648.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458648	mu_sample149
ERR458714	SAMEA2400918	ERX425061	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458714/ERR458714.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458714	mu_sample215
ERR458719	SAMEA2400923	ERX425066	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458719/ERR458719.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458719	mu_sample220
ERR458654	SAMEA2400858	ERX425001	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458654/ERR458654.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458654	mu_sample155
ERR458725	SAMEA2400929	ERX425072	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458725/ERR458725.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458725	mu_sample226
ERR458655	SAMEA2400859	ERX425002	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458655/ERR458655.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458655	mu_sample156
ERR458732	SAMEA2400936	ERX425079	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458732/ERR458732.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458732	mu_sample233
ERR458658	SAMEA2400862	ERX425005	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458658/ERR458658.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458658	mu_sample159
ERR458736	SAMEA2400940	ERX425083	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458736/ERR458736.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458736	mu_sample237
ERR458662	SAMEA2400866	ERX425009	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458662/ERR458662.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458662	mu_sample163
ERR458737	SAMEA2400941	ERX425084	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458737/ERR458737.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458737	mu_sample238
ERR458739	SAMEA2400943	ERX425086	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458739/ERR458739.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458739	mu_sample240
ERR458665	SAMEA2400869	ERX425012	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458665/ERR458665.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458665	mu_sample166
ERR458741	SAMEA2400945	ERX425088	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458741/ERR458741.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458741	mu_sample242
ERR458668	SAMEA2400872	ERX425015	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458668/ERR458668.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458668	mu_sample169
ERR458753	SAMEA2400957	ERX425100	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458753/ERR458753.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458753	mu_sample254
ERR458755	SAMEA2400959	ERX425102	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458755/ERR458755.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458755	mu_sample256
ERR458671	SAMEA2400875	ERX425018	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458671/ERR458671.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458671	mu_sample172
ERR458762	SAMEA2400966	ERX425109	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458762/ERR458762.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458762	mu_sample263
ERR458673	SAMEA2400877	ERX425020	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458673/ERR458673.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458673	mu_sample174
ERR458763	SAMEA2400967	ERX425110	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458763/ERR458763.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458763	mu_sample264
ERR458675	SAMEA2400879	ERX425022	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458675/ERR458675.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458675	mu_sample176
ERR458764	SAMEA2400968	ERX425111	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458764/ERR458764.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458764	mu_sample265
ERR458765	SAMEA2400969	ERX425112	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458765/ERR458765.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458765	mu_sample266
ERR458678	SAMEA2400882	ERX425025	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458678/ERR458678.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458678	mu_sample179
ERR458768	SAMEA2400972	ERX425115	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458768/ERR458768.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458768	mu_sample269
ERR458682	SAMEA2400886	ERX425029	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458682/ERR458682.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458682	mu_sample183
ERR458769	SAMEA2400973	ERX425116	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458769/ERR458769.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458769	mu_sample270
ERR458772	SAMEA2400976	ERX425119	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458772/ERR458772.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458772	mu_sample273
ERR458683	SAMEA2400887	ERX425030	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458683/ERR458683.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458683	mu_sample184
ERR458773	SAMEA2400977	ERX425120	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458773/ERR458773.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458773	mu_sample274
ERR458686	SAMEA2400890	ERX425033	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458686/ERR458686.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458686	mu_sample187
ERR458779	SAMEA2400983	ERX425126	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458779/ERR458779.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458779	mu_sample280
ERR458782	SAMEA2400986	ERX425129	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458782/ERR458782.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458782	mu_sample283
ERR458687	SAMEA2400891	ERX425034	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458687/ERR458687.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458687	mu_sample188
ERR458790	SAMEA2400994	ERX425137	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458790/ERR458790.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458790	mu_sample291
ERR458689	SAMEA2400893	ERX425036	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458689/ERR458689.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458689	mu_sample190
ERR458793	SAMEA2400997	ERX425140	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458793/ERR458793.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458793	mu_sample294
ERR458693	SAMEA2400897	ERX425040	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458693/ERR458693.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458693	mu_sample194
ERR458794	SAMEA2400998	ERX425141	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458794/ERR458794.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458794	mu_sample295
ERR458698	SAMEA2400902	ERX425045	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458698/ERR458698.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458698	mu_sample199
ERR458795	SAMEA2400999	ERX425142	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458795/ERR458795.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458795	mu_sample296
ERR458700	SAMEA2400904	ERX425047	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458700/ERR458700.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458700	mu_sample201
ERR458796	SAMEA2401000	ERX425143	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458796/ERR458796.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458796	mu_sample297
ERR458701	SAMEA2400905	ERX425048	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458701/ERR458701.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458701	mu_sample202
ERR458798	SAMEA2401002	ERX425145	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458798/ERR458798.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458798	mu_sample299
ERR458710	SAMEA2400914	ERX425057	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458710/ERR458710.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458710	mu_sample211
ERR458799	SAMEA2401003	ERX425146	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458799/ERR458799.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458799	mu_sample300
ERR458711	SAMEA2400915	ERX425058	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458711/ERR458711.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458711	mu_sample212
ERR458712	SAMEA2400916	ERX425059	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458712/ERR458712.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458712	mu_sample213
ERR458801	SAMEA2401005	ERX425148	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458801/ERR458801.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458801	mu_sample302
ERR458802	SAMEA2401006	ERX425149	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458802/ERR458802.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458802	mu_sample303
ERR458716	SAMEA2400920	ERX425063	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458716/ERR458716.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458716	mu_sample217
ERR458805	SAMEA2401009	ERX425152	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458805/ERR458805.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458805	mu_sample306
ERR458717	SAMEA2400921	ERX425064	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458717/ERR458717.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458717	mu_sample218
ERR458718	SAMEA2400922	ERX425065	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458718/ERR458718.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458718	mu_sample219
ERR458810	SAMEA2401014	ERX425157	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458810/ERR458810.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458810	mu_sample311
ERR458720	SAMEA2400924	ERX425067	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458720/ERR458720.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458720	mu_sample221
ERR458811	SAMEA2401015	ERX425158	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458811/ERR458811.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458811	mu_sample312
ERR458812	SAMEA2401016	ERX425159	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458812/ERR458812.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458812	mu_sample313
ERR458818	SAMEA2401022	ERX425165	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458818/ERR458818.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458818	mu_sample319
ERR458721	SAMEA2400925	ERX425068	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458721/ERR458721.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458721	mu_sample222
ERR458728	SAMEA2400932	ERX425075	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458728/ERR458728.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458728	mu_sample229
ERR458819	SAMEA2401023	ERX425166	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458819/ERR458819.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458819	mu_sample320
ERR458820	SAMEA2401024	ERX425167	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458820/ERR458820.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458820	mu_sample321
ERR458729	SAMEA2400933	ERX425076	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458729/ERR458729.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458729	mu_sample230
ERR458821	SAMEA2401025	ERX425168	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458821/ERR458821.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458821	mu_sample322
ERR458825	SAMEA2401029	ERX425172	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458825/ERR458825.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458825	mu_sample326
ERR458731	SAMEA2400935	ERX425078	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458731/ERR458731.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458731	mu_sample232
ERR458829	SAMEA2401033	ERX425176	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458829/ERR458829.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458829	mu_sample330
ERR458733	SAMEA2400937	ERX425080	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458733/ERR458733.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458733	mu_sample234
ERR458735	SAMEA2400939	ERX425082	PRJEB5348	4932	Saccharomyces cerevisiae	ftp.sra.ebi.ac.uk/vol1/fastq/ERR458/ERR458735/ERR458735.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR458/ERR458735	mu_sample236
